date,coin,long_notional_usd,short_notional_usd,long_share_pct,longs,shorts,accounts,top_long_notional_usd,top_short_notional_usd,source
2026-09-02,TRUMP,40803,1466527,2.71,3,6,300,37201,569381,bykaranteli-hl-scan
2026-09-02,TRX,1286167,59875,95.55,2,2,300,1244871,59803,bykaranteli-hl-scan
2026-09-02,TURBO,1,9911,0.01,1,1,300,1,9911,bykaranteli-hl-scan
2026-09-02,UMA,21356,0,100,1,0,300,21356,0,bykaranteli-hl-scan
2026-09-02,UNI,1274278,5543487,18.69,3,9,300,1010137,2004731,bykaranteli-hl-scan
2026-09-02,USUAL,19127,1,100,2,1,300,19127,1,bykaranteli-hl-scan
2026-09-02,VIRTUAL,113298,1798276,5.93,1,5,300,113298,766679,bykaranteli-hl-scan
2026-09-02,VVV,3268261,3336124,49.49,3,6,300,3261608,1295760,bykaranteli-hl-scan
2026-09-02,W,35520,382802,8.49,1,2,300,35520,382399,bykaranteli-hl-scan
2026-09-02,WCT,0,114,0,0,1,300,0,114,bykaranteli-hl-scan
2026-09-02,WIF,502799,479865,51.17,1,6,300,502799,273971,bykaranteli-hl-scan
2026-09-02,WLD,369002,6568871,5.32,5,9,300,309790,2829375,bykaranteli-hl-scan
2026-09-02,WLFI,1142623,3069044,27.13,4,5,300,404718,1950327,bykaranteli-hl-scan
2026-09-02,XAI,16185,34757,31.77,1,1,300,16185,34757,bykaranteli-hl-scan
2026-09-02,XLM,1594090,808506,66.35,3,4,300,875800,358229,bykaranteli-hl-scan
2026-09-02,XMR,2231554,10073683,18.13,2,8,300,2054126,5058717,bykaranteli-hl-scan
2026-09-02,XPL,828799,8133904,9.25,2,11,300,812037,3740784,bykaranteli-hl-scan
2026-09-02,XRP,49134144,54640515,47.35,7,18,300,47264405,15794794,bykaranteli-hl-scan
2026-09-02,ZEC,13934487,75278686,15.62,11,13,300,6520080,26702981,bykaranteli-hl-scan
2026-09-02,ZEN,0,143744,0,0,2,300,0,143644,bykaranteli-hl-scan
2026-09-02,ZETA,49297,366745,11.85,1,1,300,49297,366745,bykaranteli-hl-scan
2026-09-02,ZK,3723,9,99.76,1,1,300,3723,9,bykaranteli-hl-scan
2026-09-02,ZORA,1,4044,0.03,1,1,300,1,4044,bykaranteli-hl-scan
2026-09-02,ZRO,1023342,4749630,17.73,3,5,300,727233,2817156,bykaranteli-hl-scan
2026-09-02,kBONK,1492,792842,0.19,1,4,300,1492,661663,bykaranteli-hl-scan
2026-09-02,kFLOKI,319,37822,0.84,1,2,300,319,25455,bykaranteli-hl-scan
2026-09-02,kLUNC,8727,0,100,1,0,300,8727,0,bykaranteli-hl-scan
2026-09-02,kNEIRO,0,5127,0,0,1,300,0,5127,bykaranteli-hl-scan
2026-09-02,kPEPE,568363,2673221,17.53,2,5,300,442167,1043197,bykaranteli-hl-scan
2026-09-02,kSHIB,0,544738,0,0,4,300,0,383984,bykaranteli-hl-scan
2026-09-03,0G,3934,0,100,2,0,300,3933,0,bykaranteli-hl-scan
2026-09-03,2Z,102800,82345,55.52,2,2,300,100798,82018,bykaranteli-hl-scan
2026-09-03,AAVE,5078687,10893057,31.8,5,10,300,2221220,2000654,bykaranteli-hl-scan
2026-09-03,ACE,2541,0,100,1,0,300,2541,0,bykaranteli-hl-scan
2026-09-03,ADA,991699,3030048,24.66,5,7,300,827337,1468347,bykaranteli-hl-scan
2026-09-03,AERO,0,817145,0,0,3,300,0,650765,bykaranteli-hl-scan
2026-09-03,AIXBT,0,24812,0,0,3,300,0,20415,bykaranteli-hl-scan
2026-09-03,ALGO,428507,393179,52.15,1,3,300,428507,224111,bykaranteli-hl-scan
2026-09-03,ALT,40773,273467,12.98,1,1,300,40773,273467,bykaranteli-hl-scan
2026-09-03,ANIME,729,42707,1.68,2,1,300,583,42707,bykaranteli-hl-scan
