date,currency,dvol,source
2021-07-23,BTC,81.75,bykaranteli.com
2021-07-23,ETH,101.97,bykaranteli.com
2021-07-24,BTC,81.31,bykaranteli.com
2021-07-24,ETH,102.41,bykaranteli.com
2021-07-25,BTC,83.9,bykaranteli.com
2021-07-25,ETH,103.05,bykaranteli.com
2021-07-26,BTC,87.68,bykaranteli.com
2021-07-26,ETH,105.35,bykaranteli.com
2021-07-27,BTC,91.84,bykaranteli.com
2021-07-27,ETH,108.34,bykaranteli.com
2021-07-28,BTC,95.68,bykaranteli.com
2021-07-28,ETH,107.3,bykaranteli.com
2021-07-29,BTC,93.24,bykaranteli.com
2021-07-29,ETH,106.81,bykaranteli.com
2021-07-30,BTC,93.49,bykaranteli.com
2021-07-30,ETH,103.84,bykaranteli.com
2021-07-31,BTC,89.55,bykaranteli.com
2021-07-31,ETH,102.22,bykaranteli.com
2021-08-01,BTC,89.3,bykaranteli.com
2021-08-01,ETH,103.95,bykaranteli.com
2021-08-02,BTC,88.52,bykaranteli.com
2021-08-02,ETH,102.98,bykaranteli.com
2021-08-03,BTC,89.04,bykaranteli.com
2021-08-03,ETH,105.79,bykaranteli.com
2021-08-04,BTC,91.94,bykaranteli.com
2021-08-04,ETH,109.75,bykaranteli.com
2021-08-05,BTC,96.09,bykaranteli.com
2021-08-05,ETH,114.91,bykaranteli.com
2021-08-06,BTC,93.62,bykaranteli.com
2021-08-06,ETH,111.07,bykaranteli.com
2021-08-07,BTC,97.27,bykaranteli.com
2021-08-07,ETH,118.74,bykaranteli.com
2021-08-08,BTC,95.99,bykaranteli.com
2021-08-08,ETH,115.71,bykaranteli.com
2021-08-09,BTC,106.97,bykaranteli.com
2021-08-09,ETH,127.77,bykaranteli.com
2021-08-10,BTC,103.35,bykaranteli.com
2021-08-10,ETH,121.58,bykaranteli.com
2021-08-11,BTC,100.53,bykaranteli.com
2021-08-11,ETH,120.03,bykaranteli.com
2021-08-12,BTC,98.06,bykaranteli.com
2021-08-12,ETH,115.36,bykaranteli.com
2021-08-13,BTC,100.3,bykaranteli.com
2021-08-13,ETH,117.07,bykaranteli.com
2021-08-14,BTC,97.48,bykaranteli.com
2021-08-14,ETH,112.41,bykaranteli.com
2021-08-15,BTC,98.69,bykaranteli.com
2021-08-15,ETH,111.83,bykaranteli.com
2021-08-16,BTC,98.3,bykaranteli.com
2021-08-16,ETH,111.98,bykaranteli.com
2021-08-17,BTC,96.68,bykaranteli.com
2021-08-17,ETH,113.03,bykaranteli.com
2021-08-18,BTC,95.81,bykaranteli.com
2021-08-18,ETH,112.93,bykaranteli.com
2021-08-19,BTC,94.5,bykaranteli.com
2021-08-19,ETH,112.14,bykaranteli.com
2021-08-20,BTC,93.06,bykaranteli.com
2021-08-20,ETH,110.2,bykaranteli.com
2021-08-21,BTC,92.71,bykaranteli.com
2021-08-21,ETH,108.21,bykaranteli.com
2021-08-22,BTC,94.83,bykaranteli.com
2021-08-22,ETH,107.13,bykaranteli.com
2021-08-23,BTC,93.64,bykaranteli.com
2021-08-23,ETH,107.08,bykaranteli.com
2021-08-24,BTC,92.85,bykaranteli.com
2021-08-24,ETH,106.13,bykaranteli.com
2021-08-25,BTC,93.62,bykaranteli.com
2021-08-25,ETH,103.62,bykaranteli.com
2021-08-26,BTC,93.87,bykaranteli.com
2021-08-26,ETH,102.92,bykaranteli.com
2021-08-27,BTC,90.92,bykaranteli.com
2021-08-27,ETH,102.06,bykaranteli.com
2021-08-28,BTC,90.11,bykaranteli.com
2021-08-28,ETH,98.27,bykaranteli.com
2021-08-29,BTC,90.6,bykaranteli.com
2021-08-29,ETH,99.54,bykaranteli.com
2021-08-30,BTC,92.08,bykaranteli.com
2021-08-30,ETH,103.79,bykaranteli.com
2021-08-31,BTC,91.08,bykaranteli.com
2021-08-31,ETH,104.64,bykaranteli.com
2021-09-01,BTC,93.65,bykaranteli.com
2021-09-01,ETH,113.63,bykaranteli.com
2021-09-02,BTC,92.82,bykaranteli.com
2021-09-02,ETH,110.75,bykaranteli.com
2021-09-03,BTC,90.15,bykaranteli.com
2021-09-03,ETH,106.48,bykaranteli.com
2021-09-04,BTC,91.3,bykaranteli.com
2021-09-04,ETH,107.6,bykaranteli.com
2021-09-05,BTC,93.37,bykaranteli.com
2021-09-05,ETH,109.21,bykaranteli.com
2021-09-06,BTC,92.86,bykaranteli.com
2021-09-06,ETH,107.56,bykaranteli.com
2021-09-07,BTC,95.16,bykaranteli.com
2021-09-07,ETH,110.41,bykaranteli.com
2021-09-08,BTC,92.31,bykaranteli.com
2021-09-08,ETH,107.7,bykaranteli.com
2021-09-09,BTC,91.95,bykaranteli.com
2021-09-09,ETH,106.28,bykaranteli.com
2021-09-10,BTC,90.57,bykaranteli.com
2021-09-10,ETH,104.56,bykaranteli.com
2021-09-11,BTC,89.46,bykaranteli.com
2021-09-11,ETH,105.08,bykaranteli.com
2021-09-12,BTC,92.13,bykaranteli.com
2021-09-12,ETH,106.1,bykaranteli.com
2021-09-13,BTC,92.14,bykaranteli.com
2021-09-13,ETH,106.25,bykaranteli.com
2021-09-14,BTC,90.9,bykaranteli.com
2021-09-14,ETH,106.64,bykaranteli.com
2021-09-15,BTC,90.32,bykaranteli.com
2021-09-15,ETH,103.59,bykaranteli.com
2021-09-16,BTC,84.17,bykaranteli.com
2021-09-16,ETH,98.61,bykaranteli.com
2021-09-17,BTC,82.35,bykaranteli.com
2021-09-17,ETH,98.52,bykaranteli.com
2021-09-18,BTC,84.7,bykaranteli.com
2021-09-18,ETH,97.54,bykaranteli.com
2021-09-19,BTC,85.72,bykaranteli.com
2021-09-19,ETH,96.98,bykaranteli.com
2021-09-20,BTC,91.76,bykaranteli.com
2021-09-20,ETH,104.64,bykaranteli.com
2021-09-21,BTC,96.26,bykaranteli.com
2021-09-21,ETH,111.21,bykaranteli.com
2021-09-22,BTC,88.73,bykaranteli.com
2021-09-22,ETH,100.77,bykaranteli.com
2021-09-23,BTC,83.84,bykaranteli.com
2021-09-23,ETH,97.82,bykaranteli.com
2021-09-24,BTC,86.92,bykaranteli.com
2021-09-24,ETH,101.81,bykaranteli.com
2021-09-25,BTC,85.88,bykaranteli.com
2021-09-25,ETH,100.44,bykaranteli.com
2021-09-26,BTC,89.12,bykaranteli.com
2021-09-26,ETH,100.62,bykaranteli.com
2021-09-27,BTC,89.25,bykaranteli.com
2021-09-27,ETH,104.71,bykaranteli.com
2021-09-28,BTC,92.27,bykaranteli.com
2021-09-28,ETH,109.77,bykaranteli.com
2021-09-29,BTC,91.77,bykaranteli.com
2021-09-29,ETH,104.62,bykaranteli.com
2021-09-30,BTC,90.97,bykaranteli.com
2021-09-30,ETH,103.19,bykaranteli.com
2021-10-01,BTC,85.84,bykaranteli.com
