date,asset,ticker,issuer,net_inflow_usd,net_assets_usd,cum_inflow_usd,fee_pct,source
2026-08-19,BTC,BRRR,Valkyrie,0,392756713,299315125,0.25,bykaranteli.com
2026-08-19,BTC,BTC,Grayscale,19655610,4141889408,2761849391,0.15,bykaranteli.com
2026-08-19,BTC,BTCO,Invesco,0,349797956,144532233,0.25,bykaranteli.com
2026-08-19,BTC,BTCW,WisdomTree,0,147979156,87834149,0.25,bykaranteli.com
2026-08-19,ETH,ETH,Grayscale,16042160,1806363058,1837945775,0.15,bykaranteli.com
2026-08-19,ETH,ETHA,BlackRock,122122711,6516796888,11845794625,0.25,bykaranteli.com
2026-08-19,ETH,ETHB,BlackRock,9713686,658372048,570484492,0.25,bykaranteli.com
2026-08-19,ETH,ETHE,Grayscale,1692470,1598512528,-5350045305,2.5,bykaranteli.com
2026-08-19,ETH,ETHV,VanEck,0,101880427,162651459,0.2,bykaranteli.com
2026-08-19,ETH,ETHW,Bitwise,0,225384845,386635185,0.2,bykaranteli.com
2026-08-19,BTC,EZBC,Franklin,5920931,374992322,315666399,0.19,bykaranteli.com
2026-08-19,ETH,EZET,Franklin,794367,43690210,66708777,0.19,bykaranteli.com
2026-08-19,BTC,FBTC,Fidelity,62414565,11839655444,10080766486,0,bykaranteli.com
2026-08-19,ETH,FETH,Fidelity,36535226,1048560986,2160012323,0.25,bykaranteli.com
2026-08-19,BTC,GBTC,Grayscale,21175920,8996594906,-27527704848,1.5,bykaranteli.com
2026-08-19,BTC,HODL,VanEck,0,1052084534,1065706395,0.25,bykaranteli.com
2026-08-19,BTC,IBIT,BlackRock,284743680,51603601920,61684408184,0.25,bykaranteli.com
2026-08-19,BTC,MSBT,Morgan Stanley,9980617,477699746,457368408,0.14,bykaranteli.com
2026-08-19,ETH,MSSE,Morgan Stanley,2254256,27501922,24133135,0.14,bykaranteli.com
2026-08-19,ETH,QETH,Invesco,0,19083803,23241706,0.25,bykaranteli.com
2026-08-19,ETH,TETH,21Shares,0,16945819,16823118,0.21,bykaranteli.com
2026-08-18,BTC,ARKB,Ark & 21Shares,19730690,2180991851,1311203938,0.21,bykaranteli.com
2026-08-18,BTC,BITB,Bitwise,16146441,2384408077,2019548290,0.2,bykaranteli.com
2026-08-18,BTC,BRRR,Valkyrie,0,371809008,299315125,0.25,bykaranteli.com
2026-08-18,BTC,BTC,Grayscale,2856280,3893679753,2742193781,0.15,bykaranteli.com
2026-08-18,BTC,BTCO,Invesco,0,330328695,144532233,0.25,bykaranteli.com
2026-08-18,BTC,BTCW,WisdomTree,0,140085846,87834149,0.25,bykaranteli.com
2026-08-18,ETH,ETH,Grayscale,2736780,1628945870,1821903615,0.15,bykaranteli.com
2026-08-18,ETH,ETHA,BlackRock,64681447,5836345570,11723671914,0.25,bykaranteli.com
2026-08-18,ETH,ETHB,BlackRock,0,591992957,560770806,0.25,bykaranteli.com
2026-08-18,ETH,ETHE,Grayscale,1540030,1452995205,-5351737775,2.5,bykaranteli.com
2026-08-18,ETH,ETHV,VanEck,0,92987349,162651459,0.2,bykaranteli.com
2026-08-18,ETH,ETHW,Bitwise,1368639,205706397,386635185,0.2,bykaranteli.com
2026-08-18,BTC,EZBC,Franklin,0,349384853,309745468,0.19,bykaranteli.com
2026-08-18,ETH,EZET,Franklin,0,39150572,65914410,0.19,bykaranteli.com
2026-08-18,BTC,FBTC,Fidelity,23915839,11149197373,10018351921,0,bykaranteli.com
2026-08-18,ETH,FETH,Fidelity,0,923967626,2123477097,0.25,bykaranteli.com
2026-08-18,BTC,GBTC,Grayscale,0,8478123965,-27548880768,1.5,bykaranteli.com
2026-08-18,BTC,HODL,VanEck,-16918860,995926437,1065706395,0.25,bykaranteli.com
2026-08-18,BTC,IBIT,BlackRock,143566080,48581003520,61399664504,0.25,bykaranteli.com
2026-08-18,BTC,MSBT,Morgan Stanley,0,443011093,447387791,0.14,bykaranteli.com
2026-08-18,ETH,MSSE,Morgan Stanley,0,23048917,21878879,0.14,bykaranteli.com
2026-08-18,ETH,QETH,Invesco,1141151,17364520,23241706,0.25,bykaranteli.com
2026-08-18,ETH,TETH,21Shares,0,15466062,16823118,0.21,bykaranteli.com
2026-08-17,BTC,ARKB,Ark & 21Shares,14181107,2149024154,1291473248,0.21,bykaranteli.com
2026-08-17,BTC,BITB,Bitwise,0,2354850354,2003401849,0.2,bykaranteli.com
2026-08-17,BTC,BRRR,Valkyrie,0,369704244,299315125,0.25,bykaranteli.com
2026-08-17,BTC,BTC,Grayscale,0,3869804734,2739337501,0.15,bykaranteli.com
2026-08-17,BTC,BTCO,Invesco,0,328548918,144532233,0.25,bykaranteli.com
2026-08-17,BTC,BTCW,WisdomTree,0,139292701,87834149,0.25,bykaranteli.com
2026-08-17,BTC,DEFI,Hashdex,0,7279120,-2967712,0.9,bykaranteli.com
2026-08-17,ETH,ETH,Grayscale,0,1620495806,1819166835,0.15,bykaranteli.com
2026-08-17,ETH,ETHA,BlackRock,25896589,5751344721,11658990467,0.25,bykaranteli.com
2026-08-17,ETH,ETHB,BlackRock,0,589880298,560770806,0.25,bykaranteli.com
2026-08-17,ETH,ETHE,Grayscale,0,1446488279,-5353277805,2.5,bykaranteli.com
2026-08-17,ETH,ETHV,VanEck,0,92655448,162651459,0.2,bykaranteli.com
2026-08-17,ETH,ETHW,Bitwise,681909,203618147,385266547,0.2,bykaranteli.com
2026-08-17,BTC,EZBC,Franklin,0,347405776,309745468,0.19,bykaranteli.com
2026-08-17,ETH,EZET,Franklin,0,39012667,65914410,0.19,bykaranteli.com
2026-08-17,BTC,FBTC,Fidelity,111900744,11061583252,9994436082,0,bykaranteli.com
2026-08-17,ETH,FETH,Fidelity,4272701,920529682,2123477097,0.25,bykaranteli.com
2026-08-17,BTC,GBTC,Grayscale,0,8432619402,-27548880768,1.5,bykaranteli.com
2026-08-17,BTC,HODL,VanEck,0,1007092389,1082625256,0.25,bykaranteli.com
2026-08-17,BTC,IBIT,BlackRock,160234800,48163667520,61256098424,0.25,bykaranteli.com
2026-08-17,BTC,MSBT,Morgan Stanley,11240280,440397843,447387791,0.14,bykaranteli.com
2026-08-17,ETH,MSSE,Morgan Stanley,0,22963424,21878879,0.14,bykaranteli.com
2026-08-17,ETH,QETH,Invesco,0,16168072,22100555,0.25,bykaranteli.com
2026-08-17,ETH,TETH,21Shares,0,15411007,16823118,0.21,bykaranteli.com
2026-08-14,BTC,ARKB,Ark & 21Shares,0,2085952727,1277292141,0.21,bykaranteli.com
2026-08-14,BTC,BITB,Bitwise,6138504,2300915916,2003401849,0.2,bykaranteli.com
2026-08-14,BTC,BRRR,Valkyrie,0,361242359,299315125,0.25,bykaranteli.com
2026-08-14,BTC,BTC,Grayscale,0,3788018270,2739337501,0.15,bykaranteli.com
2026-08-14,BTC,BTCO,Invesco,0,321550505,144532233,0.25,bykaranteli.com
2026-08-14,BTC,BTCW,WisdomTree,0,136104361,87834149,0.25,bykaranteli.com
2026-08-14,BTC,DEFI,Hashdex,-1424780,7123900,-2967712,0.9,bykaranteli.com
2026-08-14,ETH,ETH,Grayscale,0,1597722889,1819166835,0.15,bykaranteli.com
2026-08-14,ETH,ETHA,BlackRock,0,5630805683,11633093878,0.25,bykaranteli.com
2026-08-14,ETH,ETHB,BlackRock,0,580038635,560770806,0.25,bykaranteli.com
2026-08-14,ETH,ETHE,Grayscale,0,1426451048,-5353277805,2.5,bykaranteli.com
2026-08-14,ETH,ETHV,VanEck,0,91122722,162651459,0.2,bykaranteli.com
2026-08-14,ETH,ETHW,Bitwise,0,199578744,384584637,0.2,bykaranteli.com
2026-08-14,BTC,EZBC,Franklin,0,339451030,309745468,0.19,bykaranteli.com
2026-08-14,ETH,EZET,Franklin,0,38367508,65914410,0.19,bykaranteli.com
2026-08-14,BTC,FBTC,Fidelity,-6836395,10703249946,9882535338,0,bykaranteli.com
2026-08-14,ETH,FETH,Fidelity,0,902724304,2119204396,0.25,bykaranteli.com
2026-08-14,BTC,GBTC,Grayscale,0,8255314365,-27548880768,1.5,bykaranteli.com
2026-08-14,BTC,HODL,VanEck,0,984014304,1082625256,0.25,bykaranteli.com
2026-08-14,BTC,IBIT,BlackRock,-55509480,46904087280,61095863624,0.25,bykaranteli.com
2026-08-14,BTC,MSBT,Morgan Stanley,0,419459701,436147511,0.14,bykaranteli.com
2026-08-14,ETH,MSSE,Morgan Stanley,0,22586124,21878879,0.14,bykaranteli.com
2026-08-14,ETH,QETH,Invesco,0,15943033,22100555,0.25,bykaranteli.com
2026-08-14,ETH,TETH,21Shares,0,15155733,16823118,0.21,bykaranteli.com
2026-08-13,BTC,ARKB,Ark & 21Shares,-58815526,2102865110,1277292141,0.21,bykaranteli.com
2026-08-13,BTC,BITB,Bitwise,-9282403,2313381213,1997263345,0.2,bykaranteli.com
2026-08-13,BTC,BRRR,Valkyrie,0,364167002,299315125,0.25,bykaranteli.com
2026-08-13,BTC,BTC,Grayscale,38926811,3814826358,2739337501,0.15,bykaranteli.com
2026-08-13,BTC,BTCO,Invesco,-7875527,323841681,144532233,0.25,bykaranteli.com
2026-08-13,BTC,BTCW,WisdomTree,-4015800,137206498,87834149,0.25,bykaranteli.com
2026-08-13,BTC,DEFI,Hashdex,0,8610948,-1542932,0.9,bykaranteli.com
2026-08-13,ETH,ETH,Grayscale,6474816,1603070737,1819166835,0.15,bykaranteli.com
2026-08-13,ETH,ETHA,BlackRock,-569203,5663001045,11633093878,0.25,bykaranteli.com
2026-08-13,ETH,ETHB,BlackRock,0,583323989,560770806,0.25,bykaranteli.com
2026-08-13,ETH,ETHE,Grayscale,0,1431333120,-5353277805,2.5,bykaranteli.com
2026-08-13,ETH,ETHV,VanEck,0,91642154,162651459,0.2,bykaranteli.com
2026-08-13,ETH,ETHW,Bitwise,0,200721781,384584637,0.2,bykaranteli.com
2026-08-13,BTC,EZBC,Franklin,0,342199603,309745468,0.19,bykaranteli.com
2026-08-13,ETH,EZET,Franklin,0,38586850,65914410,0.19,bykaranteli.com
2026-08-13,BTC,FBTC,Fidelity,-55119344,10793937354,9889371733,0,bykaranteli.com
2026-08-13,ETH,FETH,Fidelity,0,906481532,2119204396,0.25,bykaranteli.com
2026-08-13,BTC,GBTC,Grayscale,-36288712,8314043056,-27548880768,1.5,bykaranteli.com
2026-08-13,BTC,HODL,VanEck,0,991963385,1082625256,0.25,bykaranteli.com
2026-08-13,BTC,IBIT,BlackRock,-5739520,47340995840,61151373104,0.25,bykaranteli.com
2026-08-13,BTC,MSBT,Morgan Stanley,7080565,422836797,436147511,0.14,bykaranteli.com
2026-08-13,ETH,MSSE,Morgan Stanley,811329,22717204,21878879,0.14,bykaranteli.com
2026-08-13,ETH,QETH,Invesco,0,16001521,22100555,0.25,bykaranteli.com
2026-08-13,ETH,TETH,21Shares,0,15242109,16823118,0.21,bykaranteli.com
2026-08-12,BTC,ARKB,Ark & 21Shares,0,2160620251,1336107667,0.21,bykaranteli.com
2026-08-12,BTC,BITB,Bitwise,0,2321523136,2006545749,0.2,bykaranteli.com
2026-08-12,BTC,BRRR,Valkyrie,0,363989565,299315125,0.25,bykaranteli.com
2026-08-12,BTC,BTC,Grayscale,0,3776142241,2700410690,0.15,bykaranteli.com
2026-08-12,BTC,BTCO,Invesco,0,331742527,152407760,0.25,bykaranteli.com
2026-08-12,BTC,BTCW,WisdomTree,0,141153149,91849949,0.25,bykaranteli.com
2026-08-12,BTC,DEFI,Hashdex,0,8606184,-1542932,0.9,bykaranteli.com
2026-08-12,ETH,ETH,Grayscale,0,1589858218,1812692019,0.15,bykaranteli.com
2026-08-12,ETH,ETHA,BlackRock,7379093,5647844074,11633663081,0.25,bykaranteli.com
2026-08-12,ETH,ETHB,BlackRock,0,581675590,560770806,0.25,bykaranteli.com
2026-08-12,ETH,ETHE,Grayscale,0,1425395464,-5353277805,2.5,bykaranteli.com
2026-08-12,ETH,ETHV,VanEck,0,91399396,162651459,0.2,bykaranteli.com
2026-08-12,ETH,ETHW,Bitwise,0,200164168,384584637,0.2,bykaranteli.com
2026-08-12,BTC,EZBC,Franklin,0,342031452,309745468,0.19,bykaranteli.com
2026-08-12,ETH,EZET,Franklin,0,38479628,65914410,0.19,bykaranteli.com
2026-08-12,BTC,FBTC,Fidelity,-46822114,10842265328,9944491077,0,bykaranteli.com
2026-08-12,ETH,FETH,Fidelity,0,903765780,2119204396,0.25,bykaranteli.com
2026-08-12,BTC,GBTC,Grayscale,0,8351200196,-27512592056,1.5,bykaranteli.com
2026-08-12,BTC,HODL,VanEck,0,991488821,1082625256,0.25,bykaranteli.com
2026-08-12,BTC,IBIT,BlackRock,-14341600,47322977520,61157112624,0.25,bykaranteli.com
2026-08-12,BTC,MSBT,Morgan Stanley,0,415528103,429066947,0.14,bykaranteli.com
2026-08-12,ETH,MSSE,Morgan Stanley,0,21833513,21067551,0.14,bykaranteli.com
2026-08-12,ETH,QETH,Invesco,0,15931457,22100555,0.25,bykaranteli.com
2026-08-12,ETH,TETH,21Shares,0,15199517,16823118,0.21,bykaranteli.com
2026-08-11,BTC,ARKB,Ark & 21Shares,-11547542,2160650095,1336107667,0.21,bykaranteli.com
2026-08-11,BTC,BITB,Bitwise,0,2321554214,2006545749,0.2,bykaranteli.com
2026-08-11,BTC,BRRR,Valkyrie,0,363993644,299315125,0.25,bykaranteli.com
2026-08-11,BTC,BTC,Grayscale,0,3783935412,2700410690,0.15,bykaranteli.com
2026-08-11,BTC,BTCO,Invesco,0,332397825,152407760,0.25,bykaranteli.com
2026-08-11,BTC,BTCW,WisdomTree,0,141155229,91849949,0.25,bykaranteli.com
2026-08-11,BTC,DEFI,Hashdex,-2873252,8619756,-1542932,0.9,bykaranteli.com
2026-08-11,ETH,ETH,Grayscale,0,1591988717,1812692019,0.15,bykaranteli.com
2026-08-11,ETH,ETHA,BlackRock,563836,5602837935,11626283988,0.25,bykaranteli.com
2026-08-11,ETH,ETHB,BlackRock,0,577766374,560770806,0.25,bykaranteli.com
2026-08-11,ETH,ETHE,Grayscale,0,1427412382,-5353277805,2.5,bykaranteli.com
2026-08-11,ETH,ETHV,VanEck,0,90782741,162651459,0.2,bykaranteli.com
2026-08-11,ETH,ETHW,Bitwise,0,198828643,384584637,0.2,bykaranteli.com
2026-08-11,BTC,EZBC,Franklin,-16461628,342036053,309745468,0.19,bykaranteli.com
2026-08-11,ETH,EZET,Franklin,0,38222834,65914410,0.19,bykaranteli.com
2026-08-11,BTC,FBTC,Fidelity,-4131415,10889224631,9991313191,0,bykaranteli.com
2026-08-11,ETH,FETH,Fidelity,-2328276,898714488,2119204396,0.25,bykaranteli.com
2026-08-11,BTC,GBTC,Grayscale,0,8368704991,-27512592056,1.5,bykaranteli.com
2026-08-11,BTC,HODL,VanEck,-10295519,991503219,1082625256,0.25,bykaranteli.com
2026-08-11,BTC,IBIT,BlackRock,50195600,47337319120,61171454224,0.25,bykaranteli.com
2026-08-11,BTC,MSBT,Morgan Stanley,0,415482211,429066947,0.14,bykaranteli.com
2026-08-11,ETH,MSSE,Morgan Stanley,0,21729716,21067551,0.14,bykaranteli.com
2026-08-11,ETH,QETH,Invesco,0,15951167,22100555,0.25,bykaranteli.com
2026-08-11,ETH,TETH,21Shares,0,15097365,16823118,0.21,bykaranteli.com
2026-08-10,BTC,ARKB,Ark & 21Shares,0,2192549668,1347655209,0.21,bykaranteli.com
2026-08-10,BTC,BITB,Bitwise,-28441545,2343305831,2006545749,0.2,bykaranteli.com
2026-08-10,BTC,BRRR,Valkyrie,0,367405728,299315125,0.25,bykaranteli.com
2026-08-10,BTC,BTC,Grayscale,37056756,3814015976,2700410690,0.15,bykaranteli.com
