date,currency,instrument,expiry,strike,type,open_interest,mark_iv,underlying_usd
2026-08-18,BTC,BTC-20AUG26-70000-C,20AUG26,70000,call,0,34.84,64412.32
2026-08-18,BTC,BTC-20AUG26-70000-P,20AUG26,70000,put,0,34.84,64412.32
2026-08-18,BTC,BTC-21AUG26-53000-C,21AUG26,53000,call,0,66.41,64427.86
2026-08-18,BTC,BTC-21AUG26-53000-P,21AUG26,53000,put,123.7,66.41,64427.95
2026-08-18,BTC,BTC-21AUG26-55000-C,21AUG26,55000,call,0,60.42,64427.86
2026-08-18,BTC,BTC-21AUG26-55000-P,21AUG26,55000,put,93.9,60.42,64427.86
2026-08-18,BTC,BTC-21AUG26-56000-C,21AUG26,56000,call,0,56.73,64427.95
2026-08-18,BTC,BTC-21AUG26-56000-P,21AUG26,56000,put,124,56.73,64427.95
2026-08-18,BTC,BTC-21AUG26-58000-C,21AUG26,58000,call,0,48.69,64427.95
2026-08-18,BTC,BTC-21AUG26-58000-P,21AUG26,58000,put,516.3,48.69,64427.95
2026-08-18,BTC,BTC-21AUG26-59000-C,21AUG26,59000,call,0,44.55,64427.95
2026-08-18,BTC,BTC-21AUG26-59000-P,21AUG26,59000,put,479.7,44.55,64427.95
2026-08-18,BTC,BTC-21AUG26-60000-C,21AUG26,60000,call,1,39.41,64427.95
2026-08-18,BTC,BTC-21AUG26-60000-P,21AUG26,60000,put,1701,39.41,64427.86
2026-08-18,BTC,BTC-21AUG26-61000-C,21AUG26,61000,call,11.6,35.5,64427.86
2026-08-18,BTC,BTC-21AUG26-61000-P,21AUG26,61000,put,1024.9,35.5,64427.95
2026-08-18,BTC,BTC-21AUG26-62000-C,21AUG26,62000,call,60.2,29.59,64427.95
2026-08-18,BTC,BTC-21AUG26-62000-P,21AUG26,62000,put,954.4,29.59,64427.95
2026-08-18,BTC,BTC-21AUG26-62500-C,21AUG26,62500,call,0,27.66,64427.86
2026-08-18,BTC,BTC-21AUG26-62500-P,21AUG26,62500,put,59.1,27.66,64427.95
2026-08-18,BTC,BTC-21AUG26-63000-C,21AUG26,63000,call,268.4,26.22,64427.95
2026-08-18,BTC,BTC-21AUG26-63000-P,21AUG26,63000,put,368.3,26.22,64427.95
2026-08-18,BTC,BTC-21AUG26-63500-C,21AUG26,63500,call,153,25.04,64427.86
2026-08-18,BTC,BTC-21AUG26-63500-P,21AUG26,63500,put,21.2,25.04,64427.95
2026-08-18,BTC,BTC-21AUG26-64000-C,21AUG26,64000,call,346.2,24.39,64427.95
2026-08-18,BTC,BTC-21AUG26-64000-P,21AUG26,64000,put,208.3,24.39,64427.95
2026-08-18,BTC,BTC-21AUG26-64500-C,21AUG26,64500,call,15.3,23.85,64427.95
2026-08-18,BTC,BTC-21AUG26-64500-P,21AUG26,64500,put,0,23.85,64427.95
2026-08-18,BTC,BTC-21AUG26-65000-P,21AUG26,65000,put,107,23.77,64427.95
2026-08-18,BTC,BTC-21AUG26-65000-C,21AUG26,65000,call,1172,23.77,64427.95
2026-08-18,BTC,BTC-21AUG26-65500-C,21AUG26,65500,call,0.1,23.68,64427.95
2026-08-18,BTC,BTC-21AUG26-65500-P,21AUG26,65500,put,0,23.68,64427.86
2026-08-18,BTC,BTC-21AUG26-66000-C,21AUG26,66000,call,1486,24.14,64427.86
2026-08-18,BTC,BTC-21AUG26-66000-P,21AUG26,66000,put,14.8,24.14,64427.86
2026-08-18,BTC,BTC-21AUG26-67000-C,21AUG26,67000,call,2284.8,26.04,64427.86
2026-08-18,BTC,BTC-21AUG26-67000-P,21AUG26,67000,put,16.7,26.04,64427.95
2026-08-18,BTC,BTC-21AUG26-68000-C,21AUG26,68000,call,2205.1,29.25,64427.95
2026-08-18,BTC,BTC-21AUG26-68000-P,21AUG26,68000,put,1.3,29.25,64427.95
2026-08-18,BTC,BTC-21AUG26-69000-C,21AUG26,69000,call,751.4,33.41,64427.86
2026-08-18,BTC,BTC-21AUG26-69000-P,21AUG26,69000,put,0,33.41,64427.86
2026-08-18,BTC,BTC-21AUG26-70000-C,21AUG26,70000,call,1348.5,38.29,64427.95
2026-08-18,BTC,BTC-21AUG26-70000-P,21AUG26,70000,put,0.1,38.29,64427.86
2026-08-18,BTC,BTC-21AUG26-72000-C,21AUG26,72000,call,1399.9,39.22,64427.95
2026-08-18,BTC,BTC-21AUG26-72000-P,21AUG26,72000,put,0,39.22,64427.86
2026-08-18,BTC,BTC-21AUG26-75000-C,21AUG26,75000,call,1532.3,48.66,64427.95
2026-08-18,BTC,BTC-21AUG26-75000-P,21AUG26,75000,put,0.4,48.66,64427.86
2026-08-18,BTC,BTC-25DEC26-20000-C,25DEC26,20000,call,2.7,86.69,65471.54
2026-08-18,BTC,BTC-25DEC26-20000-P,25DEC26,20000,put,119.9,86.69,65471.4
2026-08-18,BTC,BTC-25DEC26-30000-C,25DEC26,30000,call,291,69.92,65471.54
2026-08-18,BTC,BTC-25DEC26-30000-P,25DEC26,30000,put,2128.1,69.92,65471.4
2026-08-18,BTC,BTC-25DEC26-35000-C,25DEC26,35000,call,77.8,62.8,65471.54
2026-08-18,BTC,BTC-25DEC26-35000-P,25DEC26,35000,put,2380.5,62.8,65471.54
2026-08-18,BTC,BTC-25DEC26-40000-P,25DEC26,40000,put,4468,56.46,65471.54
2026-08-18,BTC,BTC-25DEC26-40000-C,25DEC26,40000,call,250.9,56.46,65471.54
2026-08-18,BTC,BTC-25DEC26-45000-C,25DEC26,45000,call,54.3,50.79,65471.54
2026-08-18,BTC,BTC-25DEC26-45000-P,25DEC26,45000,put,2911.8,50.79,65471.54
2026-08-18,BTC,BTC-25DEC26-50000-C,25DEC26,50000,call,260.8,46.41,65471.54
2026-08-18,BTC,BTC-25DEC26-50000-P,25DEC26,50000,put,1935.8,46.41,65471.54
2026-08-18,BTC,BTC-25DEC26-52000-C,25DEC26,52000,call,0.1,44.87,65471.54
2026-08-18,BTC,BTC-25DEC26-52000-P,25DEC26,52000,put,431.5,44.87,65471.54
2026-08-18,BTC,BTC-25DEC26-54000-P,25DEC26,54000,put,1815.7,43.56,65471.4
2026-08-18,BTC,BTC-25DEC26-54000-C,25DEC26,54000,call,33.1,43.56,65471.4
2026-08-18,BTC,BTC-25DEC26-55000-P,25DEC26,55000,put,987.5,43.04,65471.54
2026-08-18,BTC,BTC-25DEC26-55000-C,25DEC26,55000,call,44.9,43.04,65471.54
2026-08-18,BTC,BTC-25DEC26-56000-C,25DEC26,56000,call,41.4,42.47,65471.54
2026-08-18,BTC,BTC-25DEC26-56000-P,25DEC26,56000,put,466.8,42.47,65471.54
2026-08-18,BTC,BTC-25DEC26-58000-P,25DEC26,58000,put,2186.1,41.52,65471.54
2026-08-18,BTC,BTC-25DEC26-58000-C,25DEC26,58000,call,41.8,41.52,65471.54
2026-08-18,BTC,BTC-25DEC26-60000-P,25DEC26,60000,put,6528.9,40.62,65471.54
2026-08-18,BTC,BTC-25DEC26-60000-C,25DEC26,60000,call,786.8,40.62,65471.54
2026-08-18,BTC,BTC-25DEC26-62000-P,25DEC26,62000,put,1012.1,40.02,65471.54
2026-08-18,BTC,BTC-25DEC26-62000-C,25DEC26,62000,call,255.4,40.02,65471.54
2026-08-18,BTC,BTC-25DEC26-64000-P,25DEC26,64000,put,317.6,39.46,65471.54
2026-08-18,BTC,BTC-25DEC26-64000-C,25DEC26,64000,call,419.3,39.46,65471.54
2026-08-18,BTC,BTC-25DEC26-65000-C,25DEC26,65000,call,959.8,39.27,65471.54
2026-08-18,BTC,BTC-25DEC26-65000-P,25DEC26,65000,put,896.6,39.27,65471.54
2026-08-18,BTC,BTC-25DEC26-66000-P,25DEC26,66000,put,364.8,38.99,65471.54
2026-08-18,BTC,BTC-25DEC26-66000-C,25DEC26,66000,call,301.1,38.99,65471.54
2026-08-18,BTC,BTC-25DEC26-68000-C,25DEC26,68000,call,923.9,38.7,65471.54
2026-08-18,BTC,BTC-25DEC26-68000-P,25DEC26,68000,put,458.7,38.7,65471.54
2026-08-18,BTC,BTC-25DEC26-70000-P,25DEC26,70000,put,1020.8,38.3,65471.54
2026-08-18,BTC,BTC-25DEC26-70000-C,25DEC26,70000,call,1834.5,38.3,65471.54
2026-08-18,BTC,BTC-25DEC26-72000-C,25DEC26,72000,call,1158.5,38.08,65471.54
2026-08-18,BTC,BTC-25DEC26-72000-P,25DEC26,72000,put,330.4,38.08,65471.4
2026-08-18,BTC,BTC-25DEC26-74000-P,25DEC26,74000,put,106,37.91,65471.4
2026-08-18,BTC,BTC-25DEC26-74000-C,25DEC26,74000,call,154.6,37.91,65471.4
2026-08-18,BTC,BTC-25DEC26-75000-P,25DEC26,75000,put,896.2,37.87,65471.54
2026-08-18,BTC,BTC-25DEC26-75000-C,25DEC26,75000,call,1947.4,37.87,65471.4
