date,symbol,us_close_usd,global_close_usd,premium_pct,source
2020-06-06,BTC,9671.7,9666.3,0.0559,bykaranteli.com
2020-06-06,ETH,241.92,241.94,-0.0083,bykaranteli.com
2020-06-07,BTC,9750.12,9746.99,0.0321,bykaranteli.com
2020-06-07,ETH,244.81,244.56,0.1022,bykaranteli.com
2020-06-08,BTC,9781.51,9782.01,-0.0051,bykaranteli.com
2020-06-08,ETH,246.55,246.4,0.0609,bykaranteli.com
2020-06-09,BTC,9779.41,9772.43,0.0714,bykaranteli.com
2020-06-09,ETH,244.03,243.8,0.0943,bykaranteli.com
2020-06-10,BTC,9894.04,9885,0.0915,bykaranteli.com
2020-06-10,ETH,248.16,247.78,0.1534,bykaranteli.com
2020-06-11,BTC,9268.16,9280.4,-0.1319,bykaranteli.com
2020-06-11,ETH,230.15,230.51,-0.1562,bykaranteli.com
2020-06-12,BTC,9464.17,9465.13,-0.0101,bykaranteli.com
2020-06-12,ETH,237.53,237.55,-0.0084,bykaranteli.com
2020-06-13,BTC,9475,9473.34,0.0175,bykaranteli.com
2020-06-13,ETH,238.17,238.11,0.0252,bykaranteli.com
2020-06-14,BTC,9325,9342.1,-0.183,bykaranteli.com
2020-06-14,ETH,231.34,231.77,-0.1855,bykaranteli.com
2020-06-15,BTC,9432.53,9426.02,0.0691,bykaranteli.com
2020-06-15,ETH,230.98,230.86,0.052,bykaranteli.com
2020-06-16,BTC,9526.25,9525.59,0.0069,bykaranteli.com
2020-06-16,ETH,235.34,235.3,0.017,bykaranteli.com
2020-06-17,BTC,9457.51,9465.14,-0.0806,bykaranteli.com
2020-06-17,ETH,233.71,233.82,-0.047,bykaranteli.com
2020-06-18,BTC,9376.14,9386.32,-0.1085,bykaranteli.com
2020-06-18,ETH,231.05,231.27,-0.0951,bykaranteli.com
2020-06-19,BTC,9301.91,9310.23,-0.0894,bykaranteli.com
2020-06-19,ETH,228.66,229,-0.1485,bykaranteli.com
2020-06-20,BTC,9355.74,9358.95,-0.0343,bykaranteli.com
2020-06-20,ETH,228.8,228.89,-0.0393,bykaranteli.com
2020-06-21,BTC,9286.14,9294.69,-0.092,bykaranteli.com
2020-06-21,ETH,227.68,228.04,-0.1579,bykaranteli.com
