report_date,market_code,market_name,open_interest,hedge_fund_long,hedge_fund_short,institutional_long,institutional_short,other_reportable_long,other_reportable_short,small_trader_long,small_trader_short,source
2026-04-21,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,24994,2935,13657,6587,1229,977,353,1233,1054,bykaranteli.com
2026-04-21,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,27114,9446,9649,529,1269,6149,2721,6421,2247,bykaranteli.com
2026-04-21,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,31005,2441,13124,2527,2576,66,88,807,493,bykaranteli.com
2026-04-21,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,68135,28754,48473,1828,6471,23613,3695,2469,599,bykaranteli.com
2026-04-14,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,23761,3318,13557,6505,1244,1326,392,1012,1162,bykaranteli.com
2026-04-14,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,23473,8794,7534,524,1264,5347,3602,5984,2293,bykaranteli.com
2026-04-14,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,34354,2080,14029,2976,2449,432,167,824,519,bykaranteli.com
2026-04-14,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,61243,27322,46445,2137,7448,24968,3352,2089,864,bykaranteli.com
2026-04-07,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,22308,3601,12028,6022,1449,710,274,927,1235,bykaranteli.com
2026-04-07,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,21846,8977,5374,520,1449,4613,4601,5251,2760,bykaranteli.com
2026-04-07,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,28648,2802,12829,2080,2169,87,189,602,515,bykaranteli.com
2026-04-07,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,61911,36129,48310,1618,8771,19116,4050,2108,715,bykaranteli.com
2026-03-31,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,20631,2991,11043,5965,1161,94,268,805,1249,bykaranteli.com
2026-03-31,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,17446,4404,5057,201,1257,4911,3810,5220,2940,bykaranteli.com
2026-03-31,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,28463,2563,12874,2113,2205,29,87,610,563,bykaranteli.com
2026-03-31,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,55281,28300,38772,1101,9284,18774,4144,1824,685,bykaranteli.com
2026-03-24,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,23268,3814,12165,6219,1151,64,433,1097,1254,bykaranteli.com
2026-03-24,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,24976,6594,9849,355,1362,5853,4962,6417,2411,bykaranteli.com
2026-03-24,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,35846,1924,12926,2210,2082,63,603,798,539,bykaranteli.com
2026-03-24,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,81734,35220,50154,1002,9197,25826,4283,2773,565,bykaranteli.com
2026-03-17,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,23807,2530,13390,6954,1068,1268,428,1246,1157,bykaranteli.com
2026-03-17,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,24583,3408,8132,340,1532,6783,4461,7403,2697,bykaranteli.com
2026-03-17,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,38577,2314,16303,2894,2192,449,349,787,569,bykaranteli.com
2026-03-17,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,55455,13211,29088,1189,9296,27866,4317,3310,965,bykaranteli.com
2026-03-10,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,21047,3058,12737,6875,984,682,427,1073,1053,bykaranteli.com
2026-03-10,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,25105,4445,10577,343,1342,7073,4210,6951,2541,bykaranteli.com
2026-03-10,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,35259,2454,13602,2209,2161,84,422,797,550,bykaranteli.com
2026-03-10,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,60732,16878,31879,1329,8291,24765,3411,2799,714,bykaranteli.com
2026-03-03,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,20302,3138,12333,7154,1129,69,393,1149,1298,bykaranteli.com
2026-03-03,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,22486,3453,10567,300,1428,7853,3524,6473,3571,bykaranteli.com
2026-03-03,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,34357,3100,10867,2012,2050,59,750,765,806,bykaranteli.com
2026-03-03,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,51800,17079,31638,998,8088,23194,4386,2714,727,bykaranteli.com
2026-02-24,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,22919,4124,12360,6662,944,328,909,1162,1214,bykaranteli.com
2026-02-24,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,38100,10652,26351,369,1215,8806,3469,8336,3216,bykaranteli.com
2026-02-24,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,37088,5031,7734,1209,2378,170,1003,864,823,bykaranteli.com
2026-02-24,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,177307,140570,160716,707,7056,25624,4423,4236,982,bykaranteli.com
2026-02-17,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,23335,3954,12830,6957,1019,293,675,1163,1094,bykaranteli.com
2026-02-17,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,32024,10768,21939,280,1056,7953,3815,7825,2965,bykaranteli.com
2026-02-17,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,33154,4469,9994,2423,1587,145,983,880,734,bykaranteli.com
2026-02-17,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,174103,132152,153544,707,5890,27907,6788,4690,768,bykaranteli.com
2026-02-10,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,24157,4372,13871,7476,972,116,497,1202,1102,bykaranteli.com
2026-02-10,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,33429,12033,23560,292,1112,7284,3462,7622,3053,bykaranteli.com
2026-02-10,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,33814,5214,10963,1635,954,119,858,860,808,bykaranteli.com
2026-02-10,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,165677,120000,144925,763,5724,31454,8270,4588,911,bykaranteli.com
2026-02-03,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,23044,4450,15875,7193,891,1486,401,1151,1191,bykaranteli.com
2026-02-03,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,26840,9264,19434,987,731,6293,2563,6821,2388,bykaranteli.com
2026-02-03,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,33723,4126,12360,1272,679,169,643,804,639,bykaranteli.com
2026-02-03,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,115739,80940,102076,268,4248,26306,5691,4102,906,bykaranteli.com
2026-01-27,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,24276,3003,15399,7769,491,1004,409,1206,1311,bykaranteli.com
2026-01-27,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,31964,9716,20958,2455,1011,6385,2637,7768,2476,bykaranteli.com
2026-01-27,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,40419,3209,16114,1970,633,351,659,866,665,bykaranteli.com
2026-01-27,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,209045,166334,194450,951,4014,32449,5281,4086,569,bykaranteli.com
2026-01-20,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,24541,4591,16149,7800,548,1231,1462,1285,1138,bykaranteli.com
2026-01-20,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,32984,11652,25092,2927,758,6738,2044,7751,2294,bykaranteli.com
2026-01-20,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,36570,5982,17432,2310,1517,384,951,981,607,bykaranteli.com
2026-01-20,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,138598,89722,123924,655,3313,38394,6746,3605,614,bykaranteli.com
2026-01-13,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,23843,2690,15408,8085,736,1995,1476,1204,1139,bykaranteli.com
2026-01-13,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,30404,6946,22456,3148,838,9250,1996,7356,2368,bykaranteli.com
2026-01-13,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,37336,2382,17383,2921,1118,623,707,1019,566,bykaranteli.com
2026-01-13,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,119503,78596,102115,615,3599,30495,8678,3691,542,bykaranteli.com
2026-01-06,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,22168,2554,14294,7677,752,1628,1543,1194,1118,bykaranteli.com
2026-01-06,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,27086,8609,20211,2554,781,6307,1930,7104,2168,bykaranteli.com
2026-01-06,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,37920,1476,16847,3047,939,523,785,1021,621,bykaranteli.com
2026-01-06,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,102523,57820,86019,777,3478,33969,7360,3391,621,bykaranteli.com
2025-12-30,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,20166,2115,13026,7075,478,1416,1489,1058,1171,bykaranteli.com
2025-12-30,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,21246,3542,14172,2125,654,7074,2179,6072,2114,bykaranteli.com
2025-12-30,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,33635,1378,13241,2097,1200,197,706,866,762,bykaranteli.com
2025-12-30,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,94649,57571,82162,427,2893,30018,7084,2727,694,bykaranteli.com
2025-12-23,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,21988,2686,13937,6820,572,1851,1391,1203,1177,bykaranteli.com
2025-12-23,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,30830,11455,19043,2033,1241,6369,2357,7696,2448,bykaranteli.com
2025-12-23,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,39065,1369,13548,2271,1315,225,647,1024,728,bykaranteli.com
2025-12-23,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,214136,171163,197024,732,2616,32410,6863,4111,661,bykaranteli.com
2025-12-16,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,24502,3092,15635,7511,686,2662,1399,1025,1150,bykaranteli.com
2025-12-16,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,33894,14268,21155,1948,1197,6566,2762,8080,2784,bykaranteli.com
2025-12-16,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,41074,2191,14030,2517,1136,385,776,978,707,bykaranteli.com
2025-12-16,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,216367,171095,195167,567,3178,31569,9122,4218,837,bykaranteli.com
2025-12-09,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,24793,2303,17173,8098,746,3070,1292,1162,1080,bykaranteli.com
2025-12-09,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,31470,13532,20993,1987,1115,6035,2587,7601,2731,bykaranteli.com
2025-12-09,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,42332,2162,17140,3197,1320,470,140,1006,660,bykaranteli.com
2025-12-09,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,149753,99266,134294,572,2554,31240,7844,4240,996,bykaranteli.com
2025-12-02,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,24329,2674,16800,7590,704,3382,1336,1154,1130,bykaranteli.com
2025-12-02,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,28351,10372,18508,1906,811,6453,2257,7792,2757,bykaranteli.com
2025-12-02,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,38895,3782,14198,2459,1186,437,130,868,608,bykaranteli.com
2025-12-02,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,125541,71993,106984,100,2692,37248,7720,4185,1003,bykaranteli.com
2025-11-25,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,26260,4352,18116,7227,727,3360,1328,1539,1194,bykaranteli.com
2025-11-25,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,49928,16787,36633,2495,489,11334,2548,8982,2385,bykaranteli.com
2025-11-25,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,41364,5442,15914,2556,1194,449,151,1145,731,bykaranteli.com
2025-11-25,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,490147,394574,432859,70,3378,38010,7569,5540,916,bykaranteli.com
2025-11-18,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27116,5570,19134,7123,875,3375,1515,1371,1220,bykaranteli.com
2025-11-18,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,38554,15365,30896,2490,165,7446,2411,7934,2795,bykaranteli.com
2025-11-18,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,42864,5218,17815,2898,952,502,836,1021,788,bykaranteli.com
2025-11-18,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,343707,272744,301784,647,2678,35721,9640,5088,1211,bykaranteli.com
2025-11-10,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27544,3776,19586,8073,647,3190,1576,1219,1248,bykaranteli.com
2025-11-10,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,33933,11688,27795,2369,152,7541,2249,7424,2230,bykaranteli.com
2025-11-10,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,43217,4852,21443,3622,1029,474,1378,1083,741,bykaranteli.com
2025-11-10,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,256306,189761,239361,1171,2456,45920,6055,5145,725,bykaranteli.com
2025-11-04,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27093,4270,19438,7682,714,2958,1559,1310,1066,bykaranteli.com
2025-11-04,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,30224,9178,24408,2259,172,8865,2004,7466,2421,bykaranteli.com
2025-11-04,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,43229,6912,19939,3266,935,534,1727,1095,654,bykaranteli.com
2025-11-04,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,184669,120296,160066,2319,2538,44390,7504,4905,993,bykaranteli.com
2025-10-28,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,28717,2721,19944,8622,677,3167,1646,1365,939,bykaranteli.com
2025-10-28,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,44003,9590,34227,2312,330,9713,2259,7201,2082,bykaranteli.com
2025-10-28,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,53183,2216,22183,3640,880,538,2010,1127,724,bykaranteli.com
2025-10-28,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,335016,247494,292326,3258,2562,47683,9467,5494,789,bykaranteli.com
2025-10-21,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,28477,3138,17140,8475,633,3224,4137,1517,1048,bykaranteli.com
2025-10-21,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,41237,8224,33869,2458,320,10157,2347,7758,2106,bykaranteli.com
2025-10-21,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,48616,3298,23787,4629,813,664,2175,1110,619,bykaranteli.com
2025-10-21,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,295153,206525,258363,3158,2926,52532,4153,5602,813,bykaranteli.com
2025-10-14,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,28503,4039,17470,8651,608,2819,4082,1411,1087,bykaranteli.com
2025-10-14,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,34065,8659,28627,3527,253,8141,2042,7443,2024,bykaranteli.com
2025-10-14,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,45830,2949,24201,5386,782,637,2709,1093,611,bykaranteli.com
2025-10-14,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,233706,155155,197813,4052,2002,47433,9717,5407,646,bykaranteli.com
2025-10-07,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,29001,3383,17430,9212,612,2783,3927,1300,1068,bykaranteli.com
2025-10-07,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,34117,12298,24425,3639,292,7935,2581,7426,2234,bykaranteli.com
2025-10-07,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,43251,2054,22116,5915,711,554,2871,1293,693,bykaranteli.com
2025-10-07,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,145181,49755,108259,4291,2708,55304,7106,5460,673,bykaranteli.com
2025-09-30,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,26874,3010,16883,8734,609,2822,3537,1280,1094,bykaranteli.com
2025-09-30,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,27577,8837,22449,3260,309,6532,2215,6432,1884,bykaranteli.com
2025-09-30,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,43169,1824,20784,5231,747,524,2553,1164,904,bykaranteli.com
2025-09-30,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,127170,58813,90575,3427,2001,41252,16378,4909,784,bykaranteli.com
2025-09-23,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27809,3623,18016,8612,727,2459,3021,1245,999,bykaranteli.com
2025-09-23,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,31672,7620,18602,3489,678,6771,3013,7554,2212,bykaranteli.com
2025-09-23,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,42940,3693,19738,4908,438,591,2644,1296,955,bykaranteli.com
2025-09-23,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,233155,161006,220344,4195,517,54085,6827,7160,862,bykaranteli.com
2025-09-16,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,28844,2958,19327,9038,771,2967,2948,1323,890,bykaranteli.com
2025-09-16,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,27820,7396,17419,2236,754,6372,2418,6842,2137,bykaranteli.com
2025-09-16,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,38209,3466,19641,5104,392,624,3217,1297,808,bykaranteli.com
2025-09-16,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,158289,75161,137457,3952,527,54368,6451,6896,959,bykaranteli.com
2025-09-09,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,26930,3754,18505,8560,714,2384,3048,1263,851,bykaranteli.com
2025-09-09,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,26307,4941,16068,2066,674,6738,2615,6744,2042,bykaranteli.com
2025-09-09,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,36993,4663,18356,4945,430,583,3108,1319,724,bykaranteli.com
2025-09-09,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,124980,50198,106033,3127,1081,51852,6992,6210,1078,bykaranteli.com
2025-09-02,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,26684,2848,18170,8709,510,2631,3209,1189,936,bykaranteli.com
2025-09-02,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,30114,11945,21113,2108,685,6214,3082,6103,2218,bykaranteli.com
2025-09-02,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,37915,3361,18196,5147,375,784,2927,1230,667,bykaranteli.com
2025-09-02,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,105554,37176,88616,3717,518,43423,5935,5714,1357,bykaranteli.com
2025-08-26,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27481,3581,18587,8397,441,2187,3172,1382,1290,bykaranteli.com
2025-08-26,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,44851,12878,36331,2274,548,8039,2294,8041,1862,bykaranteli.com
2025-08-26,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,43853,2938,21927,6073,293,806,3053,1366,700,bykaranteli.com
2025-08-26,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,235353,127074,179673,3214,847,51004,8826,6469,1284,bykaranteli.com
2025-08-19,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,28971,4322,19148,8401,439,1980,3153,1493,1051,bykaranteli.com
2025-08-19,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,37022,8378,29311,2413,474,7910,2986,7376,1876,bykaranteli.com
2025-08-19,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,37381,4131,18111,5118,326,1164,2650,1281,763,bykaranteli.com
2025-08-19,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,126648,65458,106792,3643,1260,43055,11813,5971,1453,bykaranteli.com
2025-08-12,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27851,4120,19736,8858,420,1699,3231,1624,1000,bykaranteli.com
2025-08-12,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,37513,7570,30804,3700,271,7521,2475,7564,1762,bykaranteli.com
2025-08-12,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,36936,2184,20488,5817,475,860,2595,1386,619,bykaranteli.com
2025-08-12,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,142654,48977,69609,2888,744,56577,15116,4832,1482,bykaranteli.com
2025-08-05,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27561,4889,18987,8379,420,1656,3224,1460,1154,bykaranteli.com
2025-08-05,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,32895,5793,25135,3265,425,7284,2752,6803,1818,bykaranteli.com
2025-08-05,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,30265,2455,15231,4894,339,793,1704,1010,578,bykaranteli.com
2025-08-05,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,106660,23270,72023,1534,1285,51159,6860,4082,667,bykaranteli.com
2025-07-29,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,28068,3776,19584,9003,455,1409,3225,1467,989,bykaranteli.com
2025-07-29,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,25892,4429,19216,3192,269,7775,2980,6996,1874,bykaranteli.com
2025-07-29,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,33821,2124,14455,4318,511,561,1839,1223,616,bykaranteli.com
2025-07-29,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,73508,12649,68352,1334,1041,46237,2575,3770,739,bykaranteli.com
2025-07-22,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,30797,4724,19707,9131,458,1101,3607,1710,1105,bykaranteli.com
2025-07-22,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,35822,7318,19730,3373,482,7907,2562,7989,2216,bykaranteli.com
2025-07-22,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,38612,2172,15353,4905,439,332,1978,1121,722,bykaranteli.com
2025-07-22,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,97153,33182,80809,1326,898,48268,4742,4265,754,bykaranteli.com
2025-07-15,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,31309,5258,19605,9199,465,1039,3236,1629,1070,bykaranteli.com
2025-07-15,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,29424,6862,16639,3559,523,8389,3052,8128,2192,bykaranteli.com
2025-07-15,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,30812,1460,16907,4075,527,374,1105,1095,662,bykaranteli.com
2025-07-15,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,113094,51547,34351,1594,698,41364,6605,3329,455,bykaranteli.com
2025-07-08,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,29591,3940,18764,8955,516,2520,3244,1483,927,bykaranteli.com
2025-07-08,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,25413,7056,14543,3594,776,7089,3444,6412,1884,bykaranteli.com
2025-07-08,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,25914,973,14241,3693,526,485,324,1082,633,bykaranteli.com
2025-07-08,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,68934,15732,40516,459,1184,32136,1862,2449,293,bykaranteli.com
2025-07-01,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,29388,3712,18353,8519,549,3015,3231,1338,884,bykaranteli.com
2025-07-01,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,22284,5448,14895,1790,778,6827,2391,5705,1842,bykaranteli.com
2025-07-01,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,24314,1275,12574,3027,540,841,27,813,584,bykaranteli.com
2025-07-01,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,69879,21280,55697,459,1479,37160,1574,2278,321,bykaranteli.com
2025-06-24,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,31352,3429,19112,8747,516,2868,3226,1497,1028,bykaranteli.com
2025-06-24,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,34802,7188,15914,1808,472,7352,2898,6524,2400,bykaranteli.com
2025-06-24,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,27869,2116,13221,3058,512,652,502,1395,1172,bykaranteli.com
2025-06-24,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,128500,94167,112442,204,1460,26040,3185,2998,338,bykaranteli.com
2025-06-17,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,30860,3782,18800,8675,551,2439,3200,1500,1178,bykaranteli.com
2025-06-17,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,38508,9845,19889,2530,441,8357,2496,6435,2057,bykaranteli.com
2025-06-17,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,23715,2062,12744,2989,520,368,469,863,582,bykaranteli.com
2025-06-17,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,123343,84159,117623,942,1479,25080,3098,3116,306,bykaranteli.com
2025-06-10,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,30261,3649,18785,8737,525,2667,3228,1529,1261,bykaranteli.com
2025-06-10,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,30189,7854,10311,2490,516,7395,2786,6326,2217,bykaranteli.com
2025-06-10,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,23387,2292,13297,3222,648,112,611,1114,587,bykaranteli.com
2025-06-10,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,69791,27497,53809,288,1088,23959,2719,2605,570,bykaranteli.com
