report_date,market_code,market_name,open_interest,hedge_fund_long,hedge_fund_short,institutional_long,institutional_short,other_reportable_long,other_reportable_short,small_trader_long,small_trader_short,source
2025-04-22,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,39271,14545,25675,355,523,4809,3121,5860,2287,bykaranteli.com
2025-04-22,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,15457,1192,6252,1843,1758,26,520,494,811,bykaranteli.com
2025-04-22,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,78064,11802,41376,393,10774,29215,3847,2425,534,bykaranteli.com
2025-04-15,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27126,888,15328,7300,559,2991,526,1017,1335,bykaranteli.com
2025-04-15,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,40915,20654,33515,446,287,4601,3293,4214,1867,bykaranteli.com
2025-04-15,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,14338,789,5835,1807,1844,686,679,671,718,bykaranteli.com
2025-04-15,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,69586,5114,48964,393,10502,27184,3167,2146,676,bykaranteli.com
2025-04-08,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,26909,2883,16828,7378,728,3333,476,985,1420,bykaranteli.com
2025-04-08,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,33061,13675,25689,1085,270,3334,2391,3949,2483,bykaranteli.com
2025-04-08,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,14944,1322,5435,1732,1453,1828,1663,579,642,bykaranteli.com
2025-04-08,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,63049,24100,35657,93,10820,25169,12045,2223,889,bykaranteli.com
2025-04-01,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27069,1963,19104,7991,599,3793,582,1077,1262,bykaranteli.com
2025-04-01,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,19916,7717,13124,1166,212,3176,2809,4010,2281,bykaranteli.com
2025-04-01,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,16906,1095,6902,2653,1088,1931,2864,622,536,bykaranteli.com
2025-04-01,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,38894,3629,9605,221,10535,23870,3900,1726,686,bykaranteli.com
2025-03-25,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,29036,1825,20637,8235,644,4060,626,1207,1236,bykaranteli.com
2025-03-25,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,23710,5568,16305,1096,385,3710,2839,5532,2364,bykaranteli.com
2025-03-25,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,18842,1014,7476,2619,938,2605,2714,816,796,bykaranteli.com
2025-03-25,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,219546,14908,205444,1206,10308,29247,1593,3041,626,bykaranteli.com
2025-03-18,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,30213,3381,21349,7653,693,4241,618,1298,1392,bykaranteli.com
2025-03-18,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,29903,7758,22663,1151,350,3739,2319,5562,2349,bykaranteli.com
2025-03-18,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,18806,1470,6862,2297,949,3258,3337,770,719,bykaranteli.com
2025-03-18,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,148490,17892,130757,878,9252,28011,4188,3294,690,bykaranteli.com
2025-03-11,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,28545,2547,20818,7930,596,3433,610,1114,1342,bykaranteli.com
2025-03-11,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,19795,3627,12653,599,363,3509,2636,5506,2250,bykaranteli.com
2025-03-11,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,19269,1285,7654,2456,954,3264,2379,759,662,bykaranteli.com
2025-03-11,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,109162,20452,97727,807,4989,27098,3768,3031,759,bykaranteli.com
2025-03-04,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,28209,2809,21286,8324,433,2383,613,1186,1284,bykaranteli.com
2025-03-04,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,16288,3433,9665,1444,380,4474,2226,5410,2200,bykaranteli.com
2025-03-04,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,18575,748,8544,2823,693,2321,1865,784,710,bykaranteli.com
2025-03-04,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,53775,14463,45091,951,2461,27857,3388,2978,651,bykaranteli.com
2025-02-25,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,32060,3849,23048,8737,512,1907,742,1480,1423,bykaranteli.com
2025-02-25,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,30360,3491,18703,1476,99,5513,2699,6763,2290,bykaranteli.com
2025-02-25,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,20133,542,10666,2847,485,2292,340,735,620,bykaranteli.com
2025-02-25,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,88580,40121,78784,871,640,25930,2721,3258,575,bykaranteli.com
2025-02-18,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,33833,4032,23814,9175,832,1657,861,1519,1293,bykaranteli.com
2025-02-18,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,33585,3244,22699,2042,82,6543,2600,6907,2263,bykaranteli.com
2025-02-18,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,21214,665,10278,2900,217,1843,352,741,754,bykaranteli.com
2025-02-18,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,94663,52198,82128,771,1651,31383,2475,3169,496,bykaranteli.com
2025-02-11,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,32949,3361,23444,9494,686,1477,731,1447,1387,bykaranteli.com
2025-02-11,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,27167,2790,17180,2178,81,6550,2807,6059,2151,bykaranteli.com
2025-02-11,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,20262,714,11126,3304,202,1964,347,710,644,bykaranteli.com
2025-02-11,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,98909,52869,86946,1060,642,32779,2654,2664,470,bykaranteli.com
2025-02-04,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,32892,3542,24540,9863,616,1501,797,1329,1197,bykaranteli.com
2025-02-04,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,27486,5824,17365,2176,62,5744,2625,5383,2088,bykaranteli.com
2025-02-04,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,22276,748,12225,3594,261,1882,347,789,581,bykaranteli.com
2025-02-04,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,143026,101873,124420,909,803,29668,2644,2374,411,bykaranteli.com
2025-01-28,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,34317,3497,25715,10212,675,1708,759,1661,1353,bykaranteli.com
2025-01-28,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,33713,6917,16289,2164,62,8206,3586,5917,2155,bykaranteli.com
2025-01-28,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,19883,757,8866,3329,69,726,1121,766,590,bykaranteli.com
2025-01-28,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,100674,65705,52210,1954,1706,22902,3248,2262,531,bykaranteli.com
2025-01-21,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,38556,2596,25465,11151,512,1321,986,1486,1218,bykaranteli.com
2025-01-21,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,28472,3840,10858,1613,69,6310,2954,6393,2434,bykaranteli.com
2025-01-21,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,20128,775,9104,3631,154,395,1234,817,465,bykaranteli.com
2025-01-21,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,85564,46439,33579,2358,2182,25151,2093,2347,472,bykaranteli.com
2025-01-14,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,35471,3877,25213,10346,527,1567,994,1304,1119,bykaranteli.com
2025-01-14,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,28909,3062,14871,955,198,5508,2658,5675,2299,bykaranteli.com
2025-01-14,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,17427,868,7702,3308,201,688,1236,720,420,bykaranteli.com
2025-01-14,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,62597,27337,14019,1727,2388,19193,2160,2008,547,bykaranteli.com
2025-01-07,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,35079,4035,25239,10244,705,1336,1068,1347,1129,bykaranteli.com
2025-01-07,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,27608,3849,17232,2067,177,5593,2481,5377,2142,bykaranteli.com
2025-01-07,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,18026,1866,7323,3314,307,361,2819,739,406,bykaranteli.com
2025-01-07,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,54210,23698,11265,1848,2458,17775,3149,1921,343,bykaranteli.com
2024-12-31,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,33893,3771,23835,10520,750,897,2132,1326,963,bykaranteli.com
2024-12-31,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,18387,4201,10001,2184,172,3900,2123,4790,2147,bykaranteli.com
2024-12-31,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,17440,1153,6238,3679,63,360,4083,669,387,bykaranteli.com
2024-12-31,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,55328,34487,13536,1301,1537,15815,4198,1833,414,bykaranteli.com
2024-12-24,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,37125,4140,25242,10767,781,1556,1938,1336,1061,bykaranteli.com
2024-12-24,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,79479,49083,68782,2339,204,5912,2435,5903,2097,bykaranteli.com
2024-12-24,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,19754,1410,7626,3743,249,380,4344,829,415,bykaranteli.com
