date,venue,country,symbol,venue_usd,binance_usd,premium_pct,source
2026-08-30,bithumb,KR,XRP,1.357297,1.3564,0.0661,bykaranteli-venue-snapshot
2026-08-30,btcturk,TR,BTC,77611,77574.65,0.0469,bykaranteli-venue-snapshot
2026-08-30,btcturk,TR,ETH,2416,2415.65,0.0145,bykaranteli-venue-snapshot
2026-08-30,btcturk,TR,XRP,1.3572,1.3564,0.059,bykaranteli-venue-snapshot
2026-08-30,coinone,KR,BTC,78527.518097,77574.65,1.2283,bykaranteli-venue-snapshot
2026-08-30,coinone,KR,ETH,2445.891383,2415.65,1.2519,bykaranteli-venue-snapshot
2026-08-30,coinone,KR,XRP,1.372813,1.3564,1.21,bykaranteli-venue-snapshot
2026-08-30,upbit,KR,BTC,77591.660676,77574.65,0.0219,bykaranteli-venue-snapshot
2026-08-30,upbit,KR,ETH,2416.966211,2415.65,0.0545,bykaranteli-venue-snapshot
2026-08-30,upbit,KR,XRP,1.357297,1.3564,0.0661,bykaranteli-venue-snapshot
2026-08-31,bithumb,KR,BTC,78553.701016,78556.53,-0.0036,bykaranteli-venue-snapshot
2026-08-31,bithumb,KR,ETH,2465.892598,2466.13,-0.0096,bykaranteli-venue-snapshot
2026-08-31,bithumb,KR,XRP,1.379536,1.3792,0.0243,bykaranteli-venue-snapshot
2026-08-31,btcturk,TR,BTC,78538,78556.53,-0.0236,bykaranteli-venue-snapshot
2026-08-31,btcturk,TR,ETH,2464.6,2466.13,-0.062,bykaranteli-venue-snapshot
2026-08-31,btcturk,TR,XRP,1.3797,1.3792,0.0363,bykaranteli-venue-snapshot
2026-08-31,coinone,KR,BTC,79143.00125,78556.53,0.7466,bykaranteli-venue-snapshot
2026-08-31,coinone,KR,ETH,2485.325614,2466.13,0.7784,bykaranteli-venue-snapshot
2026-08-31,coinone,KR,XRP,1.389589,1.3792,0.7533,bykaranteli-venue-snapshot
2026-08-31,upbit,KR,BTC,78592.162554,78556.53,0.0454,bykaranteli-venue-snapshot
2026-08-31,upbit,KR,ETH,2465.166909,2466.13,-0.0391,bykaranteli-venue-snapshot
2026-08-31,upbit,KR,XRP,1.37881,1.3792,-0.0283,bykaranteli-venue-snapshot
2026-09-01,bithumb,KR,BTC,77433.116414,77456.35,-0.03,bykaranteli-venue-snapshot
2026-09-01,bithumb,KR,ETH,2418.655098,2419.16,-0.0209,bykaranteli-venue-snapshot
2026-09-01,bithumb,KR,XRP,1.35141,1.3521,-0.051,bykaranteli-venue-snapshot
2026-09-01,btcturk,TR,BTC,77446,77456.35,-0.0134,bykaranteli-venue-snapshot
2026-09-01,btcturk,TR,ETH,2419.3,2419.16,0.0058,bykaranteli-venue-snapshot
2026-09-01,btcturk,TR,XRP,1.355,1.3521,0.2145,bykaranteli-venue-snapshot
2026-09-01,coinone,KR,BTC,77920.282844,77456.35,0.599,bykaranteli-venue-snapshot
2026-09-01,coinone,KR,ETH,2434.144957,2419.16,0.6194,bykaranteli-venue-snapshot
2026-09-01,coinone,KR,XRP,1.360386,1.3521,0.6128,bykaranteli-venue-snapshot
2026-09-01,upbit,KR,BTC,77433.839479,77456.35,-0.0291,bykaranteli-venue-snapshot
2026-09-01,upbit,KR,ETH,2420.101229,2419.16,0.0389,bykaranteli-venue-snapshot
2026-09-01,upbit,KR,XRP,1.352133,1.3521,0.0024,bykaranteli-venue-snapshot
2026-09-02,bithumb,KR,BTC,77264.534884,77303.46,-0.0504,bykaranteli-venue-snapshot
2026-09-02,bithumb,KR,ETH,2390.261628,2391.34,-0.0451,bykaranteli-venue-snapshot
2026-09-02,bithumb,KR,XRP,1.348837,1.3503,-0.1083,bykaranteli-venue-snapshot
2026-09-02,btcturk,TR,BTC,77162,77303.46,-0.183,bykaranteli-venue-snapshot
2026-09-02,btcturk,TR,ETH,2384.5,2391.34,-0.286,bykaranteli-venue-snapshot
2026-09-02,btcturk,TR,XRP,1.3473,1.3503,-0.2222,bykaranteli-venue-snapshot
2026-09-02,coinone,KR,BTC,78036.930484,77303.46,0.9488,bykaranteli-venue-snapshot
2026-09-02,coinone,KR,ETH,2413.838657,2391.34,0.9408,bykaranteli-venue-snapshot
2026-09-02,coinone,KR,XRP,1.362876,1.3503,0.9313,bykaranteli-venue-snapshot
2026-09-02,upbit,KR,BTC,77378.909091,77303.46,0.0976,bykaranteli-venue-snapshot
2026-09-02,upbit,KR,ETH,2392.727273,2391.34,0.058,bykaranteli-venue-snapshot
2026-09-02,upbit,KR,XRP,1.350545,1.3503,0.0182,bykaranteli-venue-snapshot
2026-09-03,bithumb,KR,BTC,81193.406593,81250.68,-0.0705,bykaranteli-venue-snapshot
2026-09-03,bithumb,KR,ETH,2505.494505,2506.76,-0.0505,bykaranteli-venue-snapshot
2026-09-03,bithumb,KR,XRP,1.448352,1.4498,-0.0999,bykaranteli-venue-snapshot
2026-09-03,btcturk,TR,BTC,81307,81250.68,0.0693,bykaranteli-venue-snapshot
2026-09-03,btcturk,TR,ETH,2506,2506.76,-0.0303,bykaranteli-venue-snapshot
2026-09-03,btcturk,TR,XRP,1.4518,1.4498,0.138,bykaranteli-venue-snapshot
2026-09-03,coinone,KR,BTC,81677.460233,81250.68,0.5253,bykaranteli-venue-snapshot
2026-09-03,coinone,KR,ETH,2520.463571,2506.76,0.5467,bykaranteli-venue-snapshot
2026-09-03,coinone,KR,XRP,1.457316,1.4498,0.5184,bykaranteli-venue-snapshot
2026-09-03,upbit,KR,BTC,81275.659824,81250.68,0.0307,bykaranteli-venue-snapshot
2026-09-03,upbit,KR,ETH,2508.064516,2506.76,0.052,bykaranteli-venue-snapshot
2026-09-03,upbit,KR,XRP,1.449413,1.4498,-0.0267,bykaranteli-venue-snapshot
2026-09-04,bithumb,KR,BTC,79660.583942,79627.68,0.0413,bykaranteli-venue-snapshot
2026-09-04,bithumb,KR,ETH,2456.20438,2454.6,0.0654,bykaranteli-venue-snapshot
2026-09-04,bithumb,KR,XRP,1.39854,1.3981,0.0315,bykaranteli-venue-snapshot
2026-09-04,btcturk,TR,BTC,79608,79627.68,-0.0247,bykaranteli-venue-snapshot
2026-09-04,btcturk,TR,ETH,2454.2,2454.6,-0.0163,bykaranteli-venue-snapshot
2026-09-04,btcturk,TR,XRP,1.3985,1.3981,0.0286,bykaranteli-venue-snapshot
2026-09-04,coinone,KR,BTC,80816.084719,79627.68,1.4925,bykaranteli-venue-snapshot
2026-09-04,coinone,KR,ETH,2491.205984,2454.6,1.4913,bykaranteli-venue-snapshot
2026-09-04,coinone,KR,XRP,1.418891,1.3981,1.4871,bykaranteli-venue-snapshot
2026-09-04,upbit,KR,BTC,79658.643326,79627.68,0.0389,bykaranteli-venue-snapshot
2026-09-04,upbit,KR,ETH,2453.683443,2454.6,-0.0373,bykaranteli-venue-snapshot
2026-09-04,upbit,KR,XRP,1.398249,1.3981,0.0107,bykaranteli-venue-snapshot
2026-09-05,bithumb,KR,BTC,79528.853178,79560.01,-0.0392,bykaranteli-venue-snapshot
2026-09-05,bithumb,KR,ETH,2449.963477,2450.32,-0.0146,bykaranteli-venue-snapshot
2026-09-05,bithumb,KR,XRP,1.39737,1.3978,-0.0307,bykaranteli-venue-snapshot
2026-09-05,btcturk,TR,BTC,79529,79560.01,-0.039,bykaranteli-venue-snapshot
2026-09-05,btcturk,TR,ETH,2447,2450.32,-0.1355,bykaranteli-venue-snapshot
2026-09-05,btcturk,TR,XRP,1.3968,1.3978,-0.0715,bykaranteli-venue-snapshot
2026-09-05,coinone,KR,BTC,80638.35302,79560.01,1.3554,bykaranteli-venue-snapshot
2026-09-05,coinone,KR,ETH,2483.800496,2450.32,1.3664,bykaranteli-venue-snapshot
2026-09-05,coinone,KR,XRP,1.41667,1.3978,1.35,bykaranteli-venue-snapshot
2026-09-05,upbit,KR,BTC,79629.385965,79560.01,0.0872,bykaranteli-venue-snapshot
2026-09-05,upbit,KR,ETH,2452.48538,2450.32,0.0884,bykaranteli-venue-snapshot
2026-09-05,upbit,KR,XRP,1.399854,1.3978,0.1469,bykaranteli-venue-snapshot
