date,symbol,venue,mid_usd,bid_usd_2pct,ask_usd_2pct,cover_bid_pct,cover_ask_pct,levels,bids_usd_0p1pct_bins,asks_usd_0p1pct_bins,source
2026-09-03,LTC,kraken,49.67,985461,909764,5,5,1000,"[21720,86570,92211,102089,61834,123569,59456,57819,11898,283434,51526,0,3067,701,25391,22,0,3176,271,708,0,543,9,9918,138,3527,55,67,0,289110,39733,0,3459,1035,137,0,1011,49,749,10,608,31,2759,82,830,47,20,165,72,30]","[28515,46636,72548,62614,71288,52156,105991,95885,65424,5885,279625,18447,25,2938,787,22,9,968,0,0,3668,121,112,992,0,51,4598,806,1118,211,368268,19,0,127,759,265,955,630,80,29,760,21,0,26,19,51,525,23072,652,21]",bykaranteli-depth-snapshot
2026-09-03,LTC,okx,49.685,487836,540590,5,5,800,"[27311,105431,92529,38547,32968,14250,18090,23198,341,52654,208,5120,1084,6373,307,828,195,61803,5700,898,1013,1359,624,10260,1116,986,648,859,899,2674,2864,7932,1328,6328,220,1227,623,1766,637,1672,1416,1211,22689,10078,829,1027,796,201,1766,923]","[45607,107256,193640,19984,34368,593,17327,25404,28756,48,21916,2278,2749,785,1684,427,30956,645,5623,541,3047,209,1258,675,608,241,95159,226,1788,229,941,445,2871,292,873,828,2819,318,788,231,1255,629,1019,130,466,1168,8529,165,388,430]",bykaranteli-depth-snapshot
2026-09-03,SOL,binance,100.375,3669725,5157604,5,5,10000,"[819431,1296236,230387,168504,133535,258107,32949,23879,15829,178689,15387,144292,62716,85115,20194,51607,31714,25054,30203,45898,164245,42831,15094,236782,147956,49261,31258,24256,110053,80009,51207,5668597,36588,873807,320016,60897,47173,69605,114359,72770,29095,33254,39240,1192279,16829,57959,106932,163298,131569,170233]","[381532,1271275,1150993,443922,168781,150446,340491,70654,97315,261164,17550,69567,19307,22280,33054,75127,424818,26400,93883,39045,71009,73460,51292,8191,32255,89721,523601,49121,64226,51514,25807,41630,35127,37886,201951,24492,423832,65959,62604,35935,27919,78648,109059,18644,66555,101939,682634,51519,30662,26767]",bykaranteli-depth-snapshot
2026-09-03,SOL,bybit,100.375,2006322,1543918,2.02,1.99,400,"[102744,610358,242634,5935,15157,258739,31438,3363,22008,2417,22415,12698,3329,4950,3952,642067,1550,7069,4525,8972,5459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[87529,281063,296568,7755,188484,4295,178355,268310,3549,25106,18702,66773,9605,3764,2788,2359,15836,24828,55081,3169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",bykaranteli-depth-snapshot
2026-09-03,SOL,coinbase,100.35,7342253,4053140,5,5,13762,"[309671,522512,627137,376070,361045,401805,629822,973001,98283,92003,202306,1091,398012,418700,471117,397566,646304,407347,6718,1742,46563,1464,2512,180871,8921,26574,1509,24021,2265,7022,3450,28086,6056,57004,17803,22540,120331,42884,34797,15635,91037,59037,1867,160286,5938,41699,13192,21280,15618,4725]","[345246,336974,548162,419258,365999,344447,70821,851338,169704,73577,24930,67591,8583,1271,251866,6799,152460,5546,530,8036,1080,20776,2793,20543,12929,17155,33864,11420,2617,1802,145560,13016,989,1117,105409,8680,63645,686,177,133147,1758,1008911,83134,17571,19927,12202,276468,11085,51724,42673]",bykaranteli-depth-snapshot
2026-09-03,SOL,kraken,100.345,3549907,3135683,5,5,1000,"[460708,479064,548864,37365,412254,416407,86357,32064,77223,693637,2882,69257,42574,185088,972,1009,2822,424,741,197,661,10,0,199973,12982,5571,80,650,5484,29898,3927541,4461,124581,17948,24159,1048,49720,102887,38598,3273,22651,39130,16285,26190,177,13939,20241,17686,5853,3030]","[593655,424099,279788,459737,454887,377241,35815,132527,16484,220,334027,464,507,426,2155,1949,4566,1834,376,14928,540,10985,381,649,758,5436,2078723,162,6878,12924,41063,1396,3795,2806,2143,4108,33542,399,627,206,4783,26642,13348,287,781,2239,59532,3329,937,663]",bykaranteli-depth-snapshot
2026-09-03,SOL,okx,100.395,1927075,2186621,3.98,3.98,800,"[154144,146317,377808,218134,121099,304651,265305,98996,4608,47061,61713,10708,10771,14312,3735,8142,4141,13091,55393,6944,6790,10924,8865,70775,51110,47627,7464,11295,77736,9504,26288,19458,49117,130675,78097,21366,8055,32943,156961,6682,0,0,0,0,0,0,0,0,0,0]","[203421,161747,358691,43308,113561,14470,61930,17311,269285,12621,690295,51490,22918,18663,39407,59228,13909,8675,17569,8123,38639,5304,14190,30316,6934,50619,8669,13893,14564,14664,35183,25296,15029,17361,17324,183650,178544,50693,33611,11913,0,0,0,0,0,0,0,0,0,0]",bykaranteli-depth-snapshot
2026-09-03,XRP,binance,1.3498,1979031,2205539,5,5,10000,"[255946,258587,160764,93691,167065,279061,233813,138699,10391,85753,722,19147,1915,31620,23718,59562,118745,8217,27469,4145,10748,42695,84465,19028,10422,44011,29831,5104,64257,345607,14838,8480,24070,100904,41598,22650,603085,42729,8272,771294,58892,14316,34703,10828,211652,19034,10066,46259,91912,57586]","[195710,201527,314348,89228,20768,262419,284441,390266,131943,4102,56133,54345,19393,69057,32737,27218,11573,17003,19115,4215,34204,16501,102799,37655,39558,7007,64300,3535,25228,584350,7209,19010,18812,66232,19943,3666,48927,486224,4434,31964,289850,15424,8799,34175,202397,334985,4369,3368,13339,9041]",bykaranteli-depth-snapshot
2026-09-03,XRP,bybit,1.3499,768045,450307,1.73,1.53,400,"[50006,211865,14884,3664,1957,3964,83054,216164,805,2036,2197,5424,1526,207,168453,1024,670,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32502,214290,34252,14744,13386,84669,9093,6613,5160,20921,910,2651,4057,586,6274,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",bykaranteli-depth-snapshot
2026-09-03,XRP,coinbase,1.3497,7474397,4787050,5,5,14971,"[215727,310861,587264,360436,164747,347797,443784,462593,1005763,424948,88763,2238,598739,709618,416998,407211,409877,400513,114852,1667,40588,2798,136696,11702,25394,112106,581,121506,5634,315098,6752,47768,136139,32516,7593,11192,1872080,9117,94725,4921,26208,22270,20314,101898,267639,61937,16039,41284,241176,66858]","[344931,486639,198988,501307,463358,213175,146349,397833,27372,724622,81354,282100,84022,161206,88039,198583,88372,93108,153318,52374,15501,2360,19462,15521,15585,44165,9564,1121,2415,65532,16135,2121,5627,225773,12313,4168,5874,108847,3278,1577,63625,3456,6215,3822,28719,25190,3114,9685,75670,3431]",bykaranteli-depth-snapshot
2026-09-03,XRP,kraken,1.3497,6325747,5318139,5,5,1000,"[428513,724046,657392,1091053,1332659,477897,261476,740658,213457,138540,62,39524,123877,39968,13534,9400,3370,21982,7596,743,3473,631,6240,138,17,26232,6282,4648,44,51946,3079029,3650,21050,98550,11226,4502,377721,844,66782,27705,77079,32783,26933,18334,28509,78011,16215,48445,175,273]","[273339,495196,389450,874734,1329136,899572,300966,170374,197185,43590,29978,85232,128801,49977,45800,4015,314,229,70,182,36459,59,17701,1080,133,169,23701,37699,18443,27401,33806,910,1178,14096,9111,32195,376,48589,621,11293,1872,1051,984,144,1632010,431,6084,216,707,82]",bykaranteli-depth-snapshot
2026-09-03,XRP,okx,1.35,1116543,1907152,3.13,3.03,800,"[245696,134992,307394,43746,43379,9097,3979,3380,213949,52476,1513,6838,19469,627,11937,294,2192,2438,12660,486,1065,2300,23633,2519,534,3527,2783,4879,3491,20272,2241,1865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[86236,115339,62916,704446,10500,20658,6443,43538,212785,9817,571029,1512,44230,807,5045,272,772,1977,7091,1741,703,42896,113272,606,1002,4794,1060,1974,4996,17732,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",bykaranteli-depth-snapshot
