date,asset,net_inflow_usd,net_assets_usd,cumulative_inflow_usd,value_traded_usd,source
2026-05-01,SOL,0,857722610,1018058577,23703623,bykaranteli.com
2026-04-30,BTC,14757772,100532477967,58087824659,1396781005,bykaranteli.com
2026-04-30,ETH,-23642647,13253274454,11914932874,339868622,bykaranteli.com
2026-04-30,SOL,-1239622,849481563,1018058577,23514431,bykaranteli.com
2026-04-29,BTC,-137766215,99267127177,58073066887,2040981471,bykaranteli.com
2026-04-29,ETH,-87725555,13095564072,11938575521,750666431,bykaranteli.com
2026-04-29,SOL,0,840780780,1019298199,33342570,bykaranteli.com
2026-04-28,BTC,-89675365,100389805133,58210833102,1353862290,bykaranteli.com
2026-04-28,ETH,-21801946,13570881814,12026301075,428601828,bykaranteli.com
2026-04-28,SOL,0,857985472,1019298199,22321089,bykaranteli.com
2026-04-27,BTC,-263183357,101234424321,58300508467,1933537791,bykaranteli.com
2026-04-27,ETH,-50479450,13531585150,12048103021,523644958,bykaranteli.com
2026-04-27,SOL,0,861695559,1019298199,19605843,bykaranteli.com
2026-04-24,BTC,14448892,102637045814,58563691824,1831551351,bykaranteli.com
2026-04-24,ETH,23380719,13790537988,12098582471,459880816,bykaranteli.com
2026-04-24,SOL,-1173589,883254419,1019298199,58116331,bykaranteli.com
2026-04-23,BTC,223207768,102793394924,58213419947,2358873100,bykaranteli.com
2026-04-23,ETH,-75935959,13713114280,11978766100,747152865,bykaranteli.com
2026-04-23,SOL,7331370,874131577,1020471788,47377861,bykaranteli.com
2026-04-22,BTC,335822985,104081196970,58326035164,3028080681,bykaranteli.com
2026-04-22,ETH,96435653,14296357574,12151137711,813351998,bykaranteli.com
2026-04-22,SOL,0,888370051,1013140418,28578957,bykaranteli.com
2026-04-21,BTC,11844189,99081112403,57990212179,1864113608,bykaranteli.com
2026-04-21,ETH,43358913,13664897742,12054702058,648885168,bykaranteli.com
2026-04-21,SOL,0,863179760,1013140418,30994005,bykaranteli.com
2026-04-20,BTC,238374251,100328856098,57978367990,2175563636,bykaranteli.com
2026-04-20,ETH,67769640,13764772651,12011343145,745070840,bykaranteli.com
2026-04-20,SOL,3283799,872155721,1013140418,19960043,bykaranteli.com
2026-04-17,BTC,663911366,101452478155,57739993739,4794943928,bykaranteli.com
2026-04-17,ETH,127485085,14262948836,11943573505,1080543794,bykaranteli.com
2026-04-17,SOL,13036345,902653960,1009856618,41362237,bykaranteli.com
2026-04-16,BTC,26051071,97904953570,57076082373,2289394958,bykaranteli.com
2026-04-16,ETH,18020861,13694908054,11816088420,701504332,bykaranteli.com
2026-04-16,SOL,15500258,891751520,996820274,44596286,bykaranteli.com
2026-04-15,BTC,186026106,97566360476,57050031302,2030957866,bykaranteli.com
2026-04-15,ETH,67847011,13793731209,11798067559,705808911,bykaranteli.com
2026-04-15,SOL,5364054,835425286,981320015,53417720,bykaranteli.com
2026-04-14,BTC,411498099,96563172958,56864005196,3836966849,bykaranteli.com
2026-04-14,ETH,53032859,13392633605,11730220548,1116371342,bykaranteli.com
2026-04-14,SOL,1272974,817617358,975955961,52331096,bykaranteli.com
2026-04-13,BTC,-291111096,94508135622,56452507097,2442557160,bykaranteli.com
2026-04-13,ETH,9440362,12975306123,11677187688,922089624,bykaranteli.com
2026-04-13,SOL,0,812248385,974682987,35297263,bykaranteli.com
2026-04-10,BTC,240417592,94917655096,56743618193,1985497119,bykaranteli.com
2026-04-10,ETH,64948925,12964889997,11667747326,881168505,bykaranteli.com
2026-04-10,SOL,11453002,827713931,974682987,22034464,bykaranteli.com
2026-04-09,BTC,358170969,93285682381,56503200601,1987819824,bykaranteli.com
2026-04-09,ETH,85186064,12689513554,11602798401,831075123,bykaranteli.com
2026-04-09,SOL,0,803032173,963229985,22825230,bykaranteli.com
2026-04-08,BTC,-124547252,91900945418,56145029632,3038539278,bykaranteli.com
2026-04-08,ETH,-18631930,12558274088,11517612337,958096879,bykaranteli.com
2026-04-08,SOL,-1920804,793910785,963229985,23863450,bykaranteli.com
2026-04-07,BTC,-159049707,88705594452,56269576884,1777799690,bykaranteli.com
2026-04-07,ETH,-64670446,11979260835,11536244267,1032681137,bykaranteli.com
2026-04-07,SOL,-15402022,775834937,965150789,40981246,bykaranteli.com
2026-04-06,BTC,471323050,90257246237,56428626591,2313450435,bykaranteli.com
2026-04-06,ETH,120239979,12281094595,11600914714,972458612,bykaranteli.com
2026-04-06,SOL,246983,798969607,980552812,24269711,bykaranteli.com
2026-04-02,BTC,8992604,86222819822,55957303541,1973065371,bykaranteli.com
2026-04-02,ETH,-71168769,11699257580,11480674735,970108482,bykaranteli.com
2026-04-02,SOL,932854,771358655,980305829,36828086,bykaranteli.com
2026-04-01,BTC,-173725296,87706553853,55948310937,2112695327,bykaranteli.com
2026-04-01,ETH,-7104666,12205926590,11551843504,1012547655,bykaranteli.com
2026-04-01,SOL,0,818700396,979372975,42124027,bykaranteli.com
2026-03-31,BTC,117632799,87459841041,56122036233,3113629955,bykaranteli.com
2026-03-31,ETH,31168382,11977884302,11558948170,1026548294,bykaranteli.com
2026-03-31,SOL,0,805842889,979372975,36604109,bykaranteli.com
2026-03-30,BTC,69440425,85474893234,56004403434,2385002663,bykaranteli.com
2026-03-30,ETH,4958297,11507872846,11527779787,1049642553,bykaranteli.com
2026-03-30,SOL,-6174318,801913001,979372975,30001682,bykaranteli.com
2026-03-27,BTC,-225476322,84772057250,55934963009,3385520008,bykaranteli.com
