date,symbol,interval,rsi,close,source
2026-09-05,ADBEUSDT,4h,25.26,268.28,bykaranteli.com
2026-09-05,AEROUSDT,12h,55.13,0.4991,bykaranteli.com
2026-09-05,AEROUSDT,15m,49.24,0.4991,bykaranteli.com
2026-09-05,AEROUSDT,1M,38.12,0.4991,bykaranteli.com
2026-09-05,AEROUSDT,1d,57.02,0.4991,bykaranteli.com
2026-09-05,AEROUSDT,1h,48.93,0.4991,bykaranteli.com
2026-09-05,AEROUSDT,1w,52.54,0.4991,bykaranteli.com
2026-09-05,AEROUSDT,3d,56.39,0.4991,bykaranteli.com
2026-09-05,AEROUSDT,4h,55.35,0.4991,bykaranteli.com
2026-09-05,AEVOUSDT,12h,57.35,0.02276,bykaranteli.com
2026-09-05,AEVOUSDT,15m,57.83,0.02276,bykaranteli.com
2026-09-05,AEVOUSDT,1M,8.95,0.02276,bykaranteli.com
2026-09-05,AEVOUSDT,1d,57.5,0.02276,bykaranteli.com
2026-09-05,AEVOUSDT,1h,56.88,0.02276,bykaranteli.com
2026-09-05,AEVOUSDT,1w,44.29,0.02276,bykaranteli.com
2026-09-05,AEVOUSDT,3d,56.42,0.02276,bykaranteli.com
2026-09-05,AEVOUSDT,4h,59.43,0.02276,bykaranteli.com
2026-09-05,AGTUSDT,12h,54.78,0.016107,bykaranteli.com
2026-09-05,AGTUSDT,15m,24.8,0.016107,bykaranteli.com
2026-09-05,AGTUSDT,1M,41.08,0.016107,bykaranteli.com
2026-09-05,AGTUSDT,1d,53.79,0.016107,bykaranteli.com
2026-09-05,AGTUSDT,1h,43.33,0.016107,bykaranteli.com
2026-09-05,AGTUSDT,1w,52.89,0.016107,bykaranteli.com
2026-09-05,AGTUSDT,3d,52.86,0.016107,bykaranteli.com
2026-09-05,AGTUSDT,4h,53.52,0.016107,bykaranteli.com
2026-09-05,AIAUSDT,12h,54.66,0.07944,bykaranteli.com
2026-09-05,AIAUSDT,15m,44.3,0.07944,bykaranteli.com
2026-09-05,AIAUSDT,1d,59.5,0.07944,bykaranteli.com
2026-09-05,AIAUSDT,1h,50.28,0.07944,bykaranteli.com
2026-09-05,AIAUSDT,1w,43.04,0.07944,bykaranteli.com
2026-09-05,AIAUSDT,3d,59.12,0.07944,bykaranteli.com
2026-09-05,AIAUSDT,4h,53.63,0.07944,bykaranteli.com
2026-09-05,AIOUSDT,12h,58.14,0.05158,bykaranteli.com
2026-09-05,AIOUSDT,15m,55.31,0.05158,bykaranteli.com
2026-09-05,AIOUSDT,1d,51.72,0.05158,bykaranteli.com
2026-09-05,AIOUSDT,1h,56.58,0.05158,bykaranteli.com
2026-09-05,AIOUSDT,1w,43.11,0.05158,bykaranteli.com
2026-09-05,AIOUSDT,3d,43.31,0.05158,bykaranteli.com
2026-09-05,AIOUSDT,4h,58.99,0.05158,bykaranteli.com
2026-09-05,AIXBTUSDT,12h,49.4,0.02008,bykaranteli.com
2026-09-05,AIXBTUSDT,15m,56.98,0.02008,bykaranteli.com
2026-09-05,AIXBTUSDT,1M,12.8,0.02008,bykaranteli.com
2026-09-05,AIXBTUSDT,1d,51.91,0.02008,bykaranteli.com
2026-09-05,AIXBTUSDT,1h,50.11,0.02008,bykaranteli.com
2026-09-05,AIXBTUSDT,1w,41.54,0.02008,bykaranteli.com
2026-09-05,AIXBTUSDT,3d,49.05,0.02008,bykaranteli.com
2026-09-05,AIXBTUSDT,4h,48.09,0.02008,bykaranteli.com
2026-09-05,AKEUSDT,12h,60.15,0.013265,bykaranteli.com
2026-09-05,AKEUSDT,15m,53.03,0.013265,bykaranteli.com
2026-09-05,AKEUSDT,1d,62.25,0.013265,bykaranteli.com
2026-09-05,AKEUSDT,1h,45.34,0.013265,bykaranteli.com
2026-09-05,AKEUSDT,1w,83.88,0.013265,bykaranteli.com
2026-09-05,AKEUSDT,3d,69.61,0.013265,bykaranteli.com
2026-09-05,AKEUSDT,4h,54.81,0.013265,bykaranteli.com
2026-09-05,AKTUSDT,12h,45.53,0.5089,bykaranteli.com
2026-09-05,AKTUSDT,15m,49.52,0.5089,bykaranteli.com
2026-09-05,AKTUSDT,1M,19.3,0.5089,bykaranteli.com
2026-09-05,AKTUSDT,1d,46.98,0.5089,bykaranteli.com
2026-09-05,AKTUSDT,1h,44.49,0.5089,bykaranteli.com
2026-09-05,AKTUSDT,1w,45.27,0.5089,bykaranteli.com
2026-09-05,AKTUSDT,3d,45.99,0.5089,bykaranteli.com
2026-09-05,AKTUSDT,4h,46.26,0.5089,bykaranteli.com
2026-09-05,ALABUSDT,12h,58.42,303.57,bykaranteli.com
2026-09-05,ALABUSDT,15m,42.08,303.57,bykaranteli.com
2026-09-05,ALABUSDT,1d,51.85,303.57,bykaranteli.com
2026-09-05,ALABUSDT,1h,55.31,303.57,bykaranteli.com
2026-09-05,ALABUSDT,3d,41.25,303.57,bykaranteli.com
2026-09-05,ALABUSDT,4h,61.65,303.57,bykaranteli.com
2026-09-05,ALCHUSDT,12h,57.95,0.03116,bykaranteli.com
2026-09-05,ALCHUSDT,15m,47.51,0.03116,bykaranteli.com
2026-09-05,ALCHUSDT,1M,48.04,0.03116,bykaranteli.com
2026-09-05,ALCHUSDT,1d,55.17,0.03116,bykaranteli.com
2026-09-05,ALCHUSDT,1h,56.86,0.03116,bykaranteli.com
2026-09-05,ALCHUSDT,1w,35.53,0.03116,bykaranteli.com
2026-09-05,ALCHUSDT,3d,39.68,0.03116,bykaranteli.com
2026-09-05,ALCHUSDT,4h,59.14,0.03116,bykaranteli.com
2026-09-05,ALGOUSDT,12h,52.97,0.09043,bykaranteli.com
2026-09-05,ALGOUSDT,15m,50.8,0.09043,bykaranteli.com
2026-09-05,ALGOUSDT,1M,42.43,0.09043,bykaranteli.com
2026-09-05,ALGOUSDT,1d,54.51,0.09043,bykaranteli.com
2026-09-05,ALGOUSDT,1h,43.25,0.09043,bykaranteli.com
2026-09-05,ALGOUSDT,1w,46.02,0.09043,bykaranteli.com
2026-09-05,ALGOUSDT,3d,51.42,0.09043,bykaranteli.com
2026-09-05,ALGOUSDT,4h,48.41,0.09043,bykaranteli.com
2026-09-05,ALICEUSDT,12h,48.68,0.1358,bykaranteli.com
2026-09-05,ALICEUSDT,15m,66.97,0.1358,bykaranteli.com
2026-09-05,ALICEUSDT,1M,37.94,0.1358,bykaranteli.com
2026-09-05,ALICEUSDT,1d,50.92,0.1358,bykaranteli.com
2026-09-05,ALICEUSDT,1h,52.72,0.1358,bykaranteli.com
2026-09-05,ALICEUSDT,1w,48,0.1358,bykaranteli.com
2026-09-05,ALICEUSDT,3d,52.42,0.1358,bykaranteli.com
2026-09-05,ALICEUSDT,4h,51.91,0.1358,bykaranteli.com
2026-09-05,ALLOUSDT,12h,46.19,0.24777,bykaranteli.com
2026-09-05,ALLOUSDT,15m,49.8,0.24777,bykaranteli.com
2026-09-05,ALLOUSDT,1d,41.67,0.24777,bykaranteli.com
2026-09-05,ALLOUSDT,1h,53.33,0.24777,bykaranteli.com
2026-09-05,ALLOUSDT,1w,49.51,0.24777,bykaranteli.com
2026-09-05,ALLOUSDT,3d,45.28,0.24777,bykaranteli.com
2026-09-05,ALLOUSDT,4h,58.02,0.24777,bykaranteli.com
2026-09-05,ALTUSDT,12h,58.03,0.006424,bykaranteli.com
2026-09-05,ALTUSDT,15m,58.1,0.006424,bykaranteli.com
2026-09-05,ALTUSDT,1M,33.78,0.006424,bykaranteli.com
2026-09-05,ALTUSDT,1d,55.77,0.006424,bykaranteli.com
2026-09-05,ALTUSDT,1h,59.82,0.006424,bykaranteli.com
2026-09-05,ALTUSDT,1w,41.75,0.006424,bykaranteli.com
2026-09-05,ALTUSDT,3d,52.09,0.006424,bykaranteli.com
2026-09-05,ALTUSDT,4h,66.16,0.006424,bykaranteli.com
2026-09-05,AMATUSDT,12h,43.44,454.97,bykaranteli.com
2026-09-05,AMATUSDT,15m,53.5,454.97,bykaranteli.com
2026-09-05,AMATUSDT,1d,39.14,454.97,bykaranteli.com
2026-09-05,AMATUSDT,1h,62.43,454.97,bykaranteli.com
2026-09-05,AMATUSDT,3d,43.61,454.97,bykaranteli.com
2026-09-05,AMATUSDT,4h,59.87,454.97,bykaranteli.com
2026-09-05,AMDUSDT,12h,55.59,476.07,bykaranteli.com
2026-09-05,AMDUSDT,15m,57.97,476.07,bykaranteli.com
2026-09-05,AMDUSDT,1d,49.98,476.07,bykaranteli.com
2026-09-05,AMDUSDT,1h,65.97,476.07,bykaranteli.com
2026-09-05,AMDUSDT,1w,51.28,476.07,bykaranteli.com
2026-09-05,AMDUSDT,3d,48.15,476.07,bykaranteli.com
2026-09-05,AMDUSDT,4h,67.75,476.07,bykaranteli.com
2026-09-05,AMZNUSDT,12h,46.89,258.77,bykaranteli.com
2026-09-05,AMZNUSDT,15m,62.22,258.77,bykaranteli.com
2026-09-05,AMZNUSDT,1d,47.39,258.77,bykaranteli.com
2026-09-05,AMZNUSDT,1h,53.27,258.77,bykaranteli.com
2026-09-05,AMZNUSDT,1w,58.57,258.77,bykaranteli.com
2026-09-05,AMZNUSDT,3d,51.81,258.77,bykaranteli.com
2026-09-05,AMZNUSDT,4h,50.61,258.77,bykaranteli.com
2026-09-05,ANKRUSDT,12h,60.18,0.004143,bykaranteli.com
